timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1429492939088.67,gps,40.54277563,-88.95699134,250.0639343,5,11.89000034,332.2265625,,,
1429492939153.67,accelerometer,,,,,,,-0.042999268,-0.7220764,-0.6663513
1429492939254.67,accelerometer,,,,,,,-0.038604736,-0.76649475,-0.661499
1429492939353.67,accelerometer,,,,,,,-0.04460144,-0.70762634,-0.676239
1429492939454.67,accelerometer,,,,,,,0.015075684,-0.7406311,-0.7080536
1429492939554.67,accelerometer,,,,,,,-0.061584473,-0.7373047,-0.673584
1429492939655.67,accelerometer,,,,,,,-0.022079468,-0.728775,-0.6638794
1429492939755.67,accelerometer,,,,,,,-0.05795288,-0.77693176,-0.65338135
1429492939855.67,accelerometer,,,,,,,-0.046051025,-0.7611847,-0.6860657
1429492939955.67,accelerometer,,,,,,,-0.032058716,-0.68696594,-0.6770325
1429492940007.67,gps,40.54286448,-88.95703384,250.8194275,5,10.19999981,332.2265625,,,
1429492940055.67,accelerometer,,,,,,,-0.095199585,-0.8015442,-0.70500183
1429492940156.67,accelerometer,,,,,,,-0.051498413,-0.756958,-0.6561432
1429492940257.67,accelerometer,,,,,,,-0.05619812,-0.73898315,-0.6813507
1429492940357.67,accelerometer,,,,,,,-0.06686401,-0.74365234,-0.7057495
1429492940456.67,accelerometer,,,,,,,-0.07408142,-0.7622223,-0.69252014
1429492940557.67,accelerometer,,,,,,,-0.062316895,-0.70062256,-0.69062805
1429492940657.67,accelerometer,,,,,,,-0.08137512,-0.72380066,-0.7107849
1429492940758.67,accelerometer,,,,,,,-0.07312012,-0.70654297,-0.74858093
1429492940858.67,accelerometer,,,,,,,-0.07473755,-0.7007904,-0.6933594
1429492940958.67,accelerometer,,,,,,,-0.13337708,-0.7849579,-0.71502686
1429492941021.67,gps,40.54294319,-88.95707072,250.1737366,5,9.029999733,330.8203125,,,
1429492941058.67,accelerometer,,,,,,,-0.030700684,-0.7047882,-0.67300415
1429492941159.67,accelerometer,,,,,,,-0.039215088,-0.7571564,-0.7519226
1429492941259.67,accelerometer,,,,,,,-0.041015625,-0.696228,-0.7097168
1429492941359.67,accelerometer,,,,,,,-0.14225769,-0.79234314,-0.6959076
1429492941467.67,accelerometer,,,,,,,-0.050308228,-0.78189087,-0.6852417
1429492941559.67,accelerometer,,,,,,,0.3806305,-0.6165314,-0.60728455
1429492941660.67,accelerometer,,,,,,,0.4206848,-0.5784912,-0.6426239
1429492941760.67,accelerometer,,,,,,,0.34075928,-0.71154785,-0.7807007
1429492941861.67,accelerometer,,,,,,,0.3920288,-0.5531311,-0.7775574
1429492941961.67,accelerometer,,,,,,,0.47262573,-0.56791687,-0.69851685
1429492941979.67,gps,40.54299558,-88.9571143,251.6684875,5,7.349999905,330.8203125,,,
1429492942061.67,accelerometer,,,,,,,0.38981628,-0.5757904,-0.7373352
1429492942161.67,accelerometer,,,,,,,0.36457825,-0.66111755,-0.75523376
1429492942262.67,accelerometer,,,,,,,0.45724487,-0.5371704,-0.6499939
1429492942362.67,accelerometer,,,,,,,0.275177,-0.6841583,-0.7423706
1429492942462.67,accelerometer,,,,,,,0.10083008,-0.8321533,-0.68029785
1429492942563.67,accelerometer,,,,,,,0.11323547,-0.7347107,-0.6003723
1429492942663.67,accelerometer,,,,,,,0.07765198,-0.8648224,-0.5823517
1429492942763.67,accelerometer,,,,,,,-0.022247314,-0.7708435,-0.60310364
1429492942863.67,accelerometer,,,,,,,-0.022964478,-0.8970032,-0.5812683
1429492942964.67,accelerometer,,,,,,,-0.09585571,-0.8087311,-0.52848816
1429492943015.67,gps,40.54304046,-88.957149,251.5168762,5,5.599999905,332.578125,,,
1429492943064.67,accelerometer,,,,,,,-0.15307617,-0.9612732,-0.49319458
1429492943164.67,accelerometer,,,,,,,-0.18000793,-0.8753662,-0.40863037
1429492943264.67,accelerometer,,,,,,,-0.093307495,-0.90296936,-0.2739563
1429492943365.67,accelerometer,,,,,,,-0.18226624,-0.98550415,-0.33709717
1429492943465.67,accelerometer,,,,,,,-0.15127563,-0.81481934,-0.44754028
1429492943565.67,accelerometer,,,,,,,-0.103515625,-0.8716736,-0.5914154
1429492943665.67,accelerometer,,,,,,,-0.031143188,-0.7667084,-0.6335144
1429492943765.67,accelerometer,,,,,,,-0.13475037,-0.85350037,-0.6279144
1429492943864.67,accelerometer,,,,,,,-0.017669678,-0.73501587,-0.60601807
1429492943965.67,accelerometer,,,,,,,-0.005981445,-0.8405609,-0.6165924
1429492944020.67,gps,40.54307449,-88.9571718,251.967865,5,4.300000191,335.7421875,,,
1429492944064.67,accelerometer,,,,,,,-0.020019531,-0.8699188,-0.5482483
1429492944164.67,accelerometer,,,,,,,-0.0644989,-0.9175873,-0.3753357
1429492944264.67,accelerometer,,,,,,,-0.17289734,-0.8846588,-0.29241943
1429492944364.67,accelerometer,,,,,,,-0.119400024,-0.9957733,-0.34127808
1429492944466.67,accelerometer,,,,,,,0.08062744,-0.8108673,-0.5197449
1429492944563.67,accelerometer,,,,,,,0.07917786,-0.8213501,-0.6764374
1429492944663.67,accelerometer,,,,,,,0.11993408,-0.7434845,-0.645874
1429492944763.67,accelerometer,,,,,,,0.075424194,-0.7558136,-0.6274109
1429492944863.67,accelerometer,,,,,,,0.03694153,-0.8525696,-0.6386261
1429492944963.67,accelerometer,,,,,,,0.05718994,-0.7522583,-0.6367035
1429492945014.67,gps,40.54309834,-88.95719334,252.5832214,5,3.50999999,333.984375,,,
1429492945063.67,accelerometer,,,,,,,0.10183716,-0.7524414,-0.64186096
1429492945163.67,accelerometer,,,,,,,0.060424805,-0.7864075,-0.6347046
1429492945263.67,accelerometer,,,,,,,-0.09640503,-0.9285736,-0.5426178
1429492945363.67,accelerometer,,,,,,,-0.12545776,-0.89993286,-0.42144775
1429492945463.67,accelerometer,,,,,,,-0.004547119,-0.8776245,-0.37994385
1429492945562.67,accelerometer,,,,,,,0.06686401,-0.90101624,-0.4768219
1429492945662.67,accelerometer,,,,,,,-0.062194824,-0.9582367,-0.4660492
1429492945762.67,accelerometer,,,,,,,0.09144592,-0.9076996,-0.4038086
1429492945862.67,accelerometer,,,,,,,0.0476532,-0.87184143,-0.44973755
1429492945962.67,accelerometer,,,,,,,-0.030014038,-0.9916229,-0.37443542
1429492946003.67,gps,40.54312382,-88.95721522,253.0344543,5,3.440000057,330.46875,,,
1429492946061.67,accelerometer,,,,,,,0.008483887,-0.9199524,-0.40568542
1429492946161.67,accelerometer,,,,,,,0.115753174,-0.858078,-0.52207947
1429492946261.67,accelerometer,,,,,,,0.06488037,-0.9226074,-0.5706024
1429492946361.67,accelerometer,,,,,,,0.06297302,-0.8954773,-0.5415039
1429492946461.67,accelerometer,,,,,,,0.12373352,-0.8036804,-0.4937439
1429492946561.67,accelerometer,,,,,,,-0.02017212,-0.95773315,-0.42137146
1429492946661.67,accelerometer,,,,,,,0.038757324,-0.9200287,-0.41796875
1429492946761.67,accelerometer,,,,,,,0.22853088,-0.83914185,-0.5983429
1429492946861.67,accelerometer,,,,,,,0.16938782,-0.81069946,-0.6570282
1429492946961.67,accelerometer,,,,,,,0.026168823,-0.8387909,-0.53352356
1429492946991.67,gps,40.54313635,-88.95726266,253.0357971,5,3.619999886,301.2890625,,,
1429492947061.67,accelerometer,,,,,,,-0.006286621,-0.8446808,-0.46365356
1429492947160.67,accelerometer,,,,,,,-0.050720215,-0.9606781,-0.47380066
1429492947260.67,accelerometer,,,,,,,-0.010345459,-0.9844208,-0.41053772
1429492947360.67,accelerometer,,,,,,,0.11405945,-0.83358765,-0.4207611
1429492947460.67,accelerometer,,,,,,,0.13661194,-0.88705444,-0.3879242
1429492947560.67,accelerometer,,,,,,,-0.036895752,-0.9393616,-0.42448425
1429492947660.67,accelerometer,,,,,,,0.045394897,-0.8934479,-0.46325684
1429492947760.67,accelerometer,,,,,,,-0.054092407,-0.9490204,-0.5413513
1429492947860.67,accelerometer,,,,,,,-0.007034302,-0.85032654,-0.5346985
1429492947960.67,accelerometer,,,,,,,0.23257446,-0.8170624,-0.4680786
1429492947977.67,gps,40.54313128,-88.95730985,252.7292175,5,3.599999905,285.1171875,,,
1429492948073.67,accelerometer,,,,,,,0.16682434,-0.8199768,-0.4951172
1429492948160.67,accelerometer,,,,,,,-0.03338623,-0.9795532,-0.50982666
1429492948259.67,accelerometer,,,,,,,-0.009902954,-0.89164734,-0.4727173
1429492948359.67,accelerometer,,,,,,,0.11103821,-0.8473358,-0.48117065
1429492948459.67,accelerometer,,,,,,,0.1602478,-0.85417175,-0.47857666
1429492948559.67,accelerometer,,,,,,,0.1761322,-0.94343567,-0.40708923
1429492948659.67,accelerometer,,,,,,,0.021438599,-0.9395294,-0.4432068
1429492948758.67,accelerometer,,,,,,,0.07998657,-0.8685913,-0.488739
1429492948858.67,accelerometer,,,,,,,0.2821045,-0.8433533,-0.5118103
1429492948959.67,accelerometer,,,,,,,0.23216248,-0.8218689,-0.6347046
1429492949004.67,gps,40.5431154,-88.95737138,253.0625305,5,4.230000019,262.96875,,,
1429492949058.67,accelerometer,,,,,,,0.2164917,-0.82722473,-0.62312317
1429492949159.67,accelerometer,,,,,,,0.22000122,-0.7845001,-0.52046204
1429492949258.67,accelerometer,,,,,,,0.115737915,-0.8788452,-0.47624207
1429492949358.67,accelerometer,,,,,,,0.011688232,-0.90763855,-0.466156
1429492949458.67,accelerometer,,,,,,,0.004150391,-0.9538574,-0.39959717
1429492949558.67,accelerometer,,,,,,,-0.011688232,-0.9207306,-0.42085266
1429492949658.67,accelerometer,,,,,,,-0.020446777,-0.8880768,-0.45205688
1429492949758.67,accelerometer,,,,,,,-0.104385376,-0.91259766,-0.40148926
1429492949857.67,accelerometer,,,,,,,-0.11439514,-0.916687,-0.4013214
1429492949957.67,accelerometer,,,,,,,-0.07034302,-0.8710022,-0.45387268
1429492950029.67,gps,40.5430939,-88.95746743,253.2885437,5,6.579999924,248.203125,,,
1429492950057.67,accelerometer,,,,,,,-0.06135559,-0.8590698,-0.49679565
1429492950157.67,accelerometer,,,,,,,-0.19067383,-0.9203949,-0.48921204
1429492950257.67,accelerometer,,,,,,,-0.118896484,-0.87135315,-0.5151062
1429492950357.67,accelerometer,,,,,,,-0.027267456,-0.7997589,-0.53544617
1429492950457.67,accelerometer,,,,,,,-0.17034912,-0.8932648,-0.47801208
1429492950556.67,accelerometer,,,,,,,-0.16610718,-0.9237213,-0.40620422
1429492950656.67,accelerometer,,,,,,,-0.13401794,-0.89993286,-0.4161377
1429492950756.67,accelerometer,,,,,,,-0.15771484,-0.89385986,-0.39356995
1429492950856.67,accelerometer,,,,,,,-0.2592163,-0.936676,-0.36605835
1429492950956.67,accelerometer,,,,,,,-0.210495,-0.9227905,-0.40296936
1429492951027.67,gps,40.54306016,-88.95758302,252.0202332,5,8.390000343,246.4453125,,,
1429492951056.67,accelerometer,,,,,,,-0.14686584,-0.85990906,-0.4499817
1429492951156.67,accelerometer,,,,,,,-0.21884155,-0.87124634,-0.4532776
1429492951256.67,accelerometer,,,,,,,-0.23840332,-0.94725037,-0.40785217
1429492951355.67,accelerometer,,,,,,,-0.19404602,-0.88697815,-0.45228577
1429492951455.67,accelerometer,,,,,,,-0.14198303,-0.8543854,-0.4423828
1429492951555.67,accelerometer,,,,,,,-0.2858734,-0.9606323,-0.45167542
1429492951655.67,accelerometer,,,,,,,-0.12098694,-0.8534088,-0.38027954
1429492951755.67,accelerometer,,,,,,,-0.21009827,-0.94207764,-0.47702026
1429492951855.67,accelerometer,,,,,,,-0.15687561,-0.87265015,-0.39343262
1429492951955.67,accelerometer,,,,,,,-0.16976929,-0.9048767,-0.37690735
1429492952015.67,gps,40.54302726,-88.95771445,252.1104431,5,9.710000038,251.71875,,,
1429492952054.67,accelerometer,,,,,,,-0.29396057,-0.97494507,-0.45713806
1429492952154.67,accelerometer,,,,,,,-0.1335144,-0.8407593,-0.4050598
1429492952254.67,accelerometer,,,,,,,-0.20239258,-0.92785645,-0.496109
1429492952354.67,accelerometer,,,,,,,-0.19873047,-0.87493896,-0.42329407
1429492952454.67,accelerometer,,,,,,,-0.19841003,-0.938324,-0.46357727
1429492952554.67,accelerometer,,,,,,,-0.14453125,-0.8555908,-0.48132324
1429492952653.67,accelerometer,,,,,,,-0.06298828,-0.86468506,-0.4545288
1429492952753.67,accelerometer,,,,,,,-0.23321533,-0.96917725,-0.5300598
1429492952853.67,accelerometer,,,,,,,-0.06100464,-0.7917328,-0.42781067
1429492952953.67,accelerometer,,,,,,,-0.11824036,-0.9262848,-0.5020752
1429492952963.67,gps,40.54301041,-88.95784445,253.2667542,5,10.85000038,260.5078125,,,
1429492953053.67,accelerometer,,,,,,,-0.21403503,-0.9061737,-0.48580933
