timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1428025848476.26,gps,41.87790426,-87.78917748,189.4397278,10,2.660000086,348.3984375,,,
1428025848599.26,accelerometer,,,,,,,0.18545532,-0.5515442,0.86447144
1428025848694.26,accelerometer,,,,,,,0.09510803,-0.567749,0.85809326
1428025848789.26,accelerometer,,,,,,,0.15995789,-0.53118896,0.85795593
1428025848878.26,gps,41.87794756,-87.78919123,189.6426086,10,2.660000086,0.3515625,,,
1428025848884.26,accelerometer,,,,,,,0.17417908,-0.52407837,0.8514862
1428025848979.26,accelerometer,,,,,,,0.21580505,-0.5010376,0.8170624
1428025849075.26,accelerometer,,,,,,,0.10348511,-0.49771118,0.9299011
1428025849169.26,accelerometer,,,,,,,0.14624023,-0.45658875,0.8505249
1428025849264.26,accelerometer,,,,,,,0.20422363,-0.51908875,0.88243103
1428025849421.26,accelerometer,,,,,,,0.14807129,-0.49009705,0.8413696
1428025849455.26,accelerometer,,,,,,,0.1322937,-0.4867096,0.8237457
1428025849550.26,accelerometer,,,,,,,0.071243286,-0.5176697,0.9376526
1428025849645.26,accelerometer,,,,,,,0.1607666,-0.4727478,0.8120117
1428025849740.26,accelerometer,,,,,,,0.09439087,-0.49269104,0.8613739
1428025849835.26,accelerometer,,,,,,,0.13496399,-0.47669983,0.83128357
1428025849930.26,accelerometer,,,,,,,0.14816284,-0.5384064,0.95596313
1428025850027.26,accelerometer,,,,,,,0.17835999,-0.49623108,0.8522339
1428025850028.26,gps,41.87797664,-87.78919626,189.7424011,10,3.579999924,6.328125,,,
1428025850120.26,accelerometer,,,,,,,0.13763428,-0.5128937,0.8360596
1428025850216.26,accelerometer,,,,,,,0.13194275,-0.4990692,0.8508301
1428025850311.26,accelerometer,,,,,,,0.10305786,-0.49124146,0.83070374
1428025850406.26,accelerometer,,,,,,,0.11706543,-0.49891663,0.86524963
1428025850532.26,accelerometer,,,,,,,0.13539124,-0.49690247,0.8743286
1428025850596.26,accelerometer,,,,,,,0.10316467,-0.479187,0.7020416
1428025850691.26,accelerometer,,,,,,,0.15541077,-0.5171051,0.75231934
1428025850787.26,accelerometer,,,,,,,0.096954346,-0.5196533,0.9273834
1428025850873.26,gps,41.87806528,-87.78923356,190.2604675,10,4.210000038,359.296875,,,
1428025850882.26,accelerometer,,,,,,,0.08642578,-0.45257568,0.8420105
1428025851039.26,accelerometer,,,,,,,0.15444946,-0.44595337,0.82063293
1428025851096.26,accelerometer,,,,,,,0.121536255,-0.5128021,0.93788147
1428025851167.26,accelerometer,,,,,,,0.11506653,-0.48205566,0.83102417
1428025851262.26,accelerometer,,,,,,,0.14541626,-0.4980774,0.9640503
1428025851357.26,accelerometer,,,,,,,0.105041504,-0.46925354,0.87438965
1428025851452.26,accelerometer,,,,,,,0.12709045,-0.45295715,0.95751953
1428025851548.26,accelerometer,,,,,,,0.07722473,-0.43113708,0.8078003
1428025851643.26,accelerometer,,,,,,,0.13291931,-0.5196991,0.926651
1428025851738.26,accelerometer,,,,,,,0.109191895,-0.46923828,0.8625183
1428025851833.26,accelerometer,,,,,,,0.11048889,-0.50697327,0.8932953
1428025851928.26,accelerometer,,,,,,,0.17054749,-0.46295166,0.9157715
1428025852027.26,accelerometer,,,,,,,0.13165283,-0.4494934,0.7604065
1428025852102.26,gps,41.87810585,-87.78923985,190.6127014,10,6.639999866,357.1875,,,
1428025852119.26,accelerometer,,,,,,,0.15304565,-0.45603943,0.94003296
1428025852213.26,accelerometer,,,,,,,0.12402344,-0.41444397,0.9176636
1428025852309.26,accelerometer,,,,,,,0.10333252,-0.43823242,0.90792847
1428025852404.26,accelerometer,,,,,,,0.14273071,-0.4351349,0.84329224
1428025852499.26,accelerometer,,,,,,,0.13679504,-0.39341736,0.8622894
1428025852594.26,accelerometer,,,,,,,0.13806152,-0.39596558,1.0482483
1428025852689.26,accelerometer,,,,,,,0.16339111,-0.4244995,0.8970642
1428025852784.26,accelerometer,,,,,,,0.14048767,-0.41513062,0.8404846
1428025852860.26,gps,41.878189,-87.78924529,191.0367126,10,7.5,358.9453125,,,
1428025852879.26,accelerometer,,,,,,,0.12535095,-0.46290588,0.9399872
1428025852974.26,accelerometer,,,,,,,0.15563965,-0.4064331,0.83496094
1428025853069.26,accelerometer,,,,,,,0.14987183,-0.46403503,0.94947815
1428025853165.26,accelerometer,,,,,,,0.16474915,-0.42840576,0.9186554
1428025853260.26,accelerometer,,,,,,,0.13409424,-0.43650818,0.8972168
1428025853356.26,accelerometer,,,,,,,0.14059448,-0.43771362,0.847229
1428025853450.26,accelerometer,,,,,,,0.17356873,-0.43341064,0.8695526
1428025853545.26,accelerometer,,,,,,,0.1411438,-0.46340942,0.98646545
1428025853646.26,accelerometer,,,,,,,0.17201233,-0.40571594,0.8317108
1428025853735.26,accelerometer,,,,,,,0.15940857,-0.44805908,0.9215088
1428025853831.26,accelerometer,,,,,,,0.117507935,-0.439682,0.8825531
1428025853925.26,accelerometer,,,,,,,0.16766357,-0.41760254,0.82881165
1428025854021.26,accelerometer,,,,,,,0.14866638,-0.44726562,0.93499756
1428025854116.26,accelerometer,,,,,,,0.143219,-0.41108704,0.8981476
1428025854188.26,gps,41.87824314,-87.7892085,190.4552307,10,7.400000095,4.21875,,,
1428025854211.26,accelerometer,,,,,,,0.13426208,-0.40873718,0.95861816
1428025854306.26,accelerometer,,,,,,,0.18560791,-0.38502502,0.90812683
1428025854409.26,accelerometer,,,,,,,0.12953186,-0.38388062,0.89445496
1428025854496.26,accelerometer,,,,,,,0.13890076,-0.39866638,0.8726959
1428025854591.26,accelerometer,,,,,,,0.16537476,-0.36535645,0.8455658
1428025854686.26,accelerometer,,,,,,,0.16653442,-0.3792572,0.9709625
1428025854782.26,accelerometer,,,,,,,0.10240173,-0.35409546,0.72717285
1428025854856.26,gps,41.87838652,-87.7891966,190.3101501,10,7.5,4.5703125,,,
1428025854876.26,accelerometer,,,,,,,0.2256012,-0.42062378,0.68229675
1428025854973.26,accelerometer,,,,,,,0.18737793,-0.40066528,0.96913147
1428025855067.26,accelerometer,,,,,,,0.1481018,-0.31048584,0.77334595
1428025855162.26,accelerometer,,,,,,,0.2094574,-0.42933655,0.6877899
1428025855257.26,accelerometer,,,,,,,0.13252258,-0.40470886,0.80314636
1428025855352.26,accelerometer,,,,,,,0.16114807,-0.36994934,0.87760925
1428025855447.26,accelerometer,,,,,,,0.16441345,-0.35942078,0.91256714
1428025855551.26,accelerometer,,,,,,,0.14242554,-0.3461609,0.87179565
1428025855638.26,accelerometer,,,,,,,0.1331482,-0.40122986,0.88594055
1428025855735.26,accelerometer,,,,,,,0.22375488,-0.3768463,0.8935394
1428025855831.26,accelerometer,,,,,,,0.17266846,-0.38920593,0.97180176
1428025855879.26,gps,41.87848148,-87.78920171,189.8240662,10,9.239999771,3.1640625,,,
1428025855925.26,accelerometer,,,,,,,0.14529419,-0.36914062,0.8999481
1428025856018.26,accelerometer,,,,,,,0.18534851,-0.3597412,0.87908936
1428025856115.26,accelerometer,,,,,,,0.17202759,-0.38252258,0.87564087
1428025856208.26,accelerometer,,,,,,,0.16752625,-0.36218262,0.8590698
1428025856304.26,accelerometer,,,,,,,0.18730164,-0.41947937,0.9343109
1428025856399.26,accelerometer,,,,,,,0.15802002,-0.37008667,0.7920685
1428025856496.26,accelerometer,,,,,,,0.17095947,-0.383667,0.83540344
1428025856589.26,accelerometer,,,,,,,0.18367004,-0.3981781,0.8752289
1428025856689.26,accelerometer,,,,,,,0.16575623,-0.35949707,0.76589966
1428025856779.26,accelerometer,,,,,,,0.16499329,-0.40808105,0.93048096
1428025856872.26,gps,41.87858542,-87.78925351,190.0665588,10,9.399999619,358.59375,,,
1428025856879.26,accelerometer,,,,,,,0.18595886,-0.38319397,0.8744354
1428025856969.26,accelerometer,,,,,,,0.19935608,-0.37464905,0.9400635
1428025857066.26,accelerometer,,,,,,,0.12472534,-0.36921692,0.8867035
1428025857160.26,accelerometer,,,,,,,0.16572571,-0.3834839,0.89375305
1428025857255.26,accelerometer,,,,,,,0.25941467,-0.4002533,0.9156189
1428025857350.26,accelerometer,,,,,,,0.19760132,-0.3987732,0.86221313
1428025857445.26,accelerometer,,,,,,,0.16015625,-0.36383057,0.837677
1428025857540.26,accelerometer,,,,,,,0.12112427,-0.40011597,0.8824768
1428025857635.26,accelerometer,,,,,,,0.22828674,-0.3637085,0.88368225
1428025857731.26,accelerometer,,,,,,,0.1770935,-0.40753174,0.8877106
1428025857828.26,accelerometer,,,,,,,0.07850647,-0.39131165,0.8526001
1428025857925.26,accelerometer,,,,,,,0.15501404,-0.35972595,0.87098694
1428025857930.26,gps,41.87861233,-87.78923666,190.1842346,10,9.399999619,0.703125,,,
1428025858019.26,accelerometer,,,,,,,0.1309967,-0.42086792,0.9963989
1428025858111.26,accelerometer,,,,,,,0.14102173,-0.42201233,0.88760376
1428025858206.26,accelerometer,,,,,,,0.10713196,-0.42996216,0.85009766
1428025858301.26,accelerometer,,,,,,,0.10462952,-0.4615326,0.8786621
1428025858397.26,accelerometer,,,,,,,0.116363525,-0.46122742,0.8800354
1428025858491.26,accelerometer,,,,,,,0.10394287,-0.47013855,0.9085541
1428025858589.26,accelerometer,,,,,,,0.10209656,-0.43363953,0.8491516
1428025858684.26,accelerometer,,,,,,,0.12319946,-0.4711609,0.8738861
1428025858778.26,accelerometer,,,,,,,0.08885193,-0.48910522,0.9388428
1428025858876.26,accelerometer,,,,,,,0.082595825,-0.4611969,0.87867737
1428025858983.26,accelerometer,,,,,,,0.09811401,-0.49021912,0.90696716
1428025858991.26,gps,41.87870272,-87.78925653,189.5954285,10,9.079999924,358.2421875,,,
1428025859062.26,accelerometer,,,,,,,0.12568665,-0.46340942,0.867218
1428025859161.26,accelerometer,,,,,,,0.062698364,-0.46051025,0.8526459
1428025859252.26,accelerometer,,,,,,,0.079055786,-0.4745636,0.88690186
1428025859349.26,accelerometer,,,,,,,0.0974884,-0.4521942,0.8666382
1428025859442.26,accelerometer,,,,,,,0.08465576,-0.48849487,0.92630005
1428025859539.26,accelerometer,,,,,,,0.09849548,-0.47036743,0.88134766
1428025859632.26,accelerometer,,,,,,,0.08482361,-0.50619507,0.90823364
1428025859730.26,accelerometer,,,,,,,0.13482666,-0.46774292,0.8618164
1428025859822.26,accelerometer,,,,,,,0.09005737,-0.4869995,0.8593445
1428025859894.26,gps,41.87879023,-87.7892551,190.179718,10,9.670000076,359.6484375,,,
1428025859918.26,accelerometer,,,,,,,0.10534668,-0.54382324,0.9885254
1428025860013.26,accelerometer,,,,,,,0.13339233,-0.46240234,0.8365326
1428025860108.26,accelerometer,,,,,,,0.09989929,-0.49220276,0.9211273
1428025860203.26,accelerometer,,,,,,,0.09072876,-0.4098053,0.8556671
1428025860304.26,accelerometer,,,,,,,0.12794495,-0.42842102,0.97377014
1428025860393.26,accelerometer,,,,,,,0.08834839,-0.43655396,0.90097046
1428025860488.26,accelerometer,,,,,,,0.13743591,-0.48937988,0.9043884
