timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1429482076270.43,gps,40.70723679,-89.6159598,170.0542908,5,27.28000069,110.0390625,,,
1429482076378.43,accelerometer,,,,,,,0.084198,0.05076599,-1.0546265
1429482076488.43,accelerometer,,,,,,,0.019302368,0.09967041,-1.0208893
1429482076578.43,accelerometer,,,,,,,0.07081604,0.14163208,-0.9873657
1429482076678.43,accelerometer,,,,,,,0.14750671,0.08291626,-0.94444275
1429482076778.43,accelerometer,,,,,,,0.10884094,0.07879639,-1.0032349
1429482076879.43,accelerometer,,,,,,,0.066589355,0.09857178,-1.0251923
1429482076980.43,accelerometer,,,,,,,0.08540344,0.1441803,-0.9963989
1429482076982.43,gps,40.70716911,-89.61564808,169.5209656,5,27.35000038,107.578125,,,
1429482077079.43,accelerometer,,,,,,,0.13026428,0.12580872,-1.063385
1429482077180.43,accelerometer,,,,,,,0.13598633,0.093551636,-1.0599365
1429482077282.43,accelerometer,,,,,,,0.11231995,0.054214478,-1.0473328
1429482077379.43,accelerometer,,,,,,,0.08177185,0.057281494,-0.97395325
1429482077479.43,accelerometer,,,,,,,0.006774902,0.07649231,-1.0370636
1429482077579.43,accelerometer,,,,,,,0.08900452,0.07763672,-1.0141754
1429482077680.43,accelerometer,,,,,,,0.14677429,0.038726807,-1.0216064
1429482077780.43,accelerometer,,,,,,,0.08190918,0.033798218,-1.0408936
1429482077881.43,accelerometer,,,,,,,0.054626465,0.06541443,-1.0207367
1429482077977.43,gps,40.70710314,-89.61534323,168.3827209,5,27,106.875,,,
1429482077979.43,accelerometer,,,,,,,0.017745972,0.09222412,-1.0399933
1429482078092.43,accelerometer,,,,,,,0.08874512,0.09371948,-0.9920807
1429482078220.43,accelerometer,,,,,,,0.08407593,0.026565552,-0.9520416
1429482078285.43,accelerometer,,,,,,,0.06304932,0.016616821,-1.0272522
1429482078380.43,accelerometer,,,,,,,0.05645752,0.039749146,-0.9775543
1429482078482.43,accelerometer,,,,,,,0.058944702,0.09182739,-1.0470734
1429482078585.43,accelerometer,,,,,,,0.052642822,0.07571411,-0.92466736
1429482078680.43,accelerometer,,,,,,,0.076919556,0.01751709,-0.9670105
1429482078781.43,accelerometer,,,,,,,0.13296509,-0.033996582,-1.0285339
1429482078885.43,accelerometer,,,,,,,0.04084778,0.081085205,-1.0516663
1429482078982.43,accelerometer,,,,,,,0.056762695,0.077423096,-0.95687866
1429482078987.43,gps,40.70704329,-89.61503344,167.7903748,5,26.87000084,105.1171875,,,
1429482079081.43,accelerometer,,,,,,,0.07322693,0.048721313,-1.0033417
1429482079187.43,accelerometer,,,,,,,0.1434021,-0.034317017,-0.9320221
1429482079280.43,accelerometer,,,,,,,0.037109375,0.052947998,-1.0161133
1429482079381.43,accelerometer,,,,,,,0.054351807,0.09249878,-1.0351105
1429482079481.43,accelerometer,,,,,,,-0.03527832,0.11456299,-1.1632233
1429482079592.43,accelerometer,,,,,,,0.050689697,0.08270264,-1.0421143
1429482079681.43,accelerometer,,,,,,,0.2033844,0.002960205,-0.8400116
1429482079783.43,accelerometer,,,,,,,0.14416504,0.1063385,-0.9252167
1429482079883.43,accelerometer,,,,,,,0.14830017,0.09718323,-1.0088196
1429482079983.43,accelerometer,,,,,,,0.002716065,0.17201233,-1.0668793
1429482079995.43,gps,40.70700474,-89.61470713,167.1736755,5,27.21999931,101.25,,,
1429482080084.43,accelerometer,,,,,,,0.03440857,0.12600708,-1.0625458
1429482080182.43,accelerometer,,,,,,,0.14468384,0.08480835,-1.0752106
1429482080281.43,accelerometer,,,,,,,0.17027283,0.041931152,-0.97047424
1429482080382.43,accelerometer,,,,,,,0.0849762,0.1035614,-0.8912506
1429482080482.43,accelerometer,,,,,,,0.08155823,0.0519104,-0.9335022
1429482080582.43,accelerometer,,,,,,,0.062820435,0.12210083,-1.0671844
1429482080682.43,accelerometer,,,,,,,0.0974884,0.044036865,-1.0597534
1429482080789.43,accelerometer,,,,,,,0.088378906,0.07815552,-1.017395
1429482080881.43,accelerometer,,,,,,,0.10169983,0.014907837,-0.97332764
1429482080982.43,accelerometer,,,,,,,0.07649231,0.050704956,-0.98239136
1429482081014.43,gps,40.70696727,-89.61438484,166.7030334,5,27.15999985,99.140625,,,
1429482081082.43,accelerometer,,,,,,,0.059249878,0.06668091,-1.0207062
1429482081182.43,accelerometer,,,,,,,0.08932495,0.030593872,-0.9759979
1429482081284.43,accelerometer,,,,,,,0.110809326,0.002441406,-0.98768616
1429482081383.43,accelerometer,,,,,,,0.07545471,0.020019531,-1.0379944
1429482081482.43,accelerometer,,,,,,,0.020736694,0.061035156,-1.0371094
1429482081584.43,accelerometer,,,,,,,0.07614136,0.047424316,-0.99949646
1429482081684.43,accelerometer,,,,,,,0.10623169,0.010009766,-0.9539337
1429482081783.43,accelerometer,,,,,,,0.114746094,0.070892334,-0.9665222
1429482081884.43,accelerometer,,,,,,,0.09614563,0.06652832,-0.9809418
1429482081993.43,accelerometer,,,,,,,-0.014343262,0.10171509,-1.1224365
1429482082001.43,gps,40.7069381,-89.61406767,166.5276184,5,27.06999969,96.6796875,,,
1429482082083.43,accelerometer,,,,,,,0.038757324,0.08526611,-0.99450684
1429482082184.43,accelerometer,,,,,,,0.08769226,-0.000152588,-0.9531708
