timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1428959415997.98,gps,27.93843338,-82.74008372,1.407587051,10,4.519999981,269.296875,,,
1428959416083.98,accelerometer,,,,,,,0.23565674,-0.3406067,-0.8325653
1428959416180.98,accelerometer,,,,,,,0.3271942,-0.32574463,-0.8758545
1428959416278.98,accelerometer,,,,,,,0.29629517,-0.34579468,-0.84773254
1428959416375.98,accelerometer,,,,,,,0.24183655,-0.3420105,-0.9282837
1428959416473.98,accelerometer,,,,,,,0.2562561,-0.3708954,-0.9433441
1428959416570.98,accelerometer,,,,,,,0.2674408,-0.38468933,-0.89030457
1428959416668.98,accelerometer,,,,,,,0.24833679,-0.35656738,-0.8444824
1428959416765.98,accelerometer,,,,,,,0.2698822,-0.35229492,-0.9304352
1428959416862.98,accelerometer,,,,,,,0.2604828,-0.3690338,-0.87750244
1428959416960.98,accelerometer,,,,,,,0.24163818,-0.34181213,-0.8950348
1428959416978.98,gps,27.9384379,-82.74013158,1.073694229,10,4.5,271.0546875,,,
1428959417057.98,accelerometer,,,,,,,0.2588501,-0.36026,-0.8709564
1428959417155.98,accelerometer,,,,,,,0.23735046,-0.32518005,-0.89338684
1428959417252.98,accelerometer,,,,,,,0.2550354,-0.36550903,-0.89476013
1428959417353.98,accelerometer,,,,,,,0.21524048,-0.37687683,-0.8864441
1428959417447.98,accelerometer,,,,,,,0.23458862,-0.33792114,-0.90382385
1428959417544.98,accelerometer,,,,,,,0.24900818,-0.3466339,-0.835022
1428959417643.98,accelerometer,,,,,,,0.23892212,-0.3622589,-0.88864136
1428959417740.98,accelerometer,,,,,,,0.255661,-0.37043762,-0.87872314
1428959417838.98,accelerometer,,,,,,,0.26623535,-0.35897827,-0.90657043
1428959417934.98,accelerometer,,,,,,,0.21920776,-0.38142395,-0.9299927
1428959418005.98,gps,27.93845475,-82.74029645,1.265222549,10,8.470000267,271.0546875,,,
1428959418032.98,accelerometer,,,,,,,0.28733826,-0.3964386,-0.95526123
1428959418129.98,accelerometer,,,,,,,0.26112366,-0.35508728,-0.833786
1428959418227.98,accelerometer,,,,,,,0.27062988,-0.41116333,-0.8968048
1428959418324.98,accelerometer,,,,,,,0.26756287,-0.37686157,-0.89727783
1428959418422.98,accelerometer,,,,,,,0.23503113,-0.37373352,-0.88967896
1428959418520.98,accelerometer,,,,,,,0.23854065,-0.38459778,-0.86457825
1428959418616.98,accelerometer,,,,,,,0.25697327,-0.38859558,-0.8998718
1428959418729.98,accelerometer,,,,,,,0.3336792,-0.3831787,-0.90971375
1428959418812.98,accelerometer,,,,,,,0.1980133,-0.38458252,-0.88238525
1428959418908.98,accelerometer,,,,,,,0.2388916,-0.40141296,-0.8770752
1428959418986.98,gps,27.93846062,-82.7403827,1.405694962,10,8.75,270.703125,,,
1428959419006.98,accelerometer,,,,,,,0.25105286,-0.36390686,-0.90579224
1428959419103.98,accelerometer,,,,,,,0.31736755,-0.40031433,-0.8935394
1428959419201.98,accelerometer,,,,,,,0.23295593,-0.39479065,-0.8800659
1428959419298.98,accelerometer,,,,,,,0.23066711,-0.3902588,-0.8621826
1428959419396.98,accelerometer,,,,,,,0.25680542,-0.39219666,-0.94189453
1428959419493.98,accelerometer,,,,,,,0.26564026,-0.3955078,-0.8510437
1428959419591.98,accelerometer,,,,,,,0.22685242,-0.40342712,-0.83374023
1428959419688.98,accelerometer,,,,,,,0.29084778,-0.4174347,-0.99879456
1428959419785.98,accelerometer,,,,,,,0.29255676,-0.3964386,-0.8572235
1428959419883.98,accelerometer,,,,,,,0.29510498,-0.43907166,-0.81300354
1428959419982.98,accelerometer,,,,,,,0.2154541,-0.40415955,-0.9228668
1428959419986.98,gps,27.93848312,-82.740506,1.805353165,10,8.970000267,273.8671875,,,
1428959420078.98,accelerometer,,,,,,,0.2589569,-0.42311096,-0.8282471
1428959420175.98,accelerometer,,,,,,,0.23014832,-0.34681702,-0.8985138
1428959420273.98,accelerometer,,,,,,,0.21588135,-0.39375305,-0.8264923
1428959420370.98,accelerometer,,,,,,,0.28755188,-0.4223175,-0.870636
1428959420467.98,accelerometer,,,,,,,0.24171448,-0.40872192,-0.8924103
1428959420565.98,accelerometer,,,,,,,0.23023987,-0.47065735,-0.88490295
1428959420662.98,accelerometer,,,,,,,0.30786133,-0.41940308,-0.8916168
1428959420760.98,accelerometer,,,,,,,0.30023193,-0.42030334,-0.8386688
1428959420857.98,accelerometer,,,,,,,0.2985077,-0.390625,-0.8176727
1428959420954.98,accelerometer,,,,,,,0.31723022,-0.4022522,-0.8684387
1428959420978.98,gps,27.93847898,-82.74062561,2.056055069,10,9.329999924,272.8125,,,
1428959421052.98,accelerometer,,,,,,,0.30574036,-0.42710876,-0.86351013
1428959421149.98,accelerometer,,,,,,,0.26553345,-0.44207764,-0.90419006
1428959421247.98,accelerometer,,,,,,,0.2888031,-0.3899231,-0.885376
1428959421344.98,accelerometer,,,,,,,0.28196716,-0.41426086,-0.94137573
1428959421442.98,accelerometer,,,,,,,0.32684326,-0.43000793,-0.8675995
