timestamp,type,x,y,z,lat,lon,height,accuracy,speed,bearing
1435005122135.22,accelerometer,0.11709595,1.1188202,-0.47813416,,,,,,
1435005122107.22,gps,,,,42.70892533,-84.47182867,267.5688934,5,19.65999985,0.3515625
1435005122231.22,accelerometer,0.08352661,0.91185,-0.24960327,,,,,,
1435005122333.22,accelerometer,0.04020691,0.9411011,-0.33674622,,,,,,
1435005122437.22,accelerometer,0.03274536,0.8941345,-0.29701233,,,,,,
1435005122536.22,accelerometer,0.1182251,0.98231506,-0.4152069,,,,,,
1435005122641.22,accelerometer,0.003677368,1.0394897,-0.41732788,,,,,,
1435005122739.22,accelerometer,-0.023452759,0.8741455,-0.33894348,,,,,,
1435005122841.22,accelerometer,0.007553101,0.91108704,-0.32984924,,,,,,
1435005122945.22,accelerometer,0.054901123,0.8862457,-0.388443,,,,,,
1435005122972.22,gps,,,,42.70910361,-84.47183764,266.7800751,5,19.65999985,0.3515625
1435005123044.22,accelerometer,0.048339844,1.1816406,-0.46115112,,,,,,
1435005123146.22,accelerometer,-0.037704468,0.8851013,-0.35269165,,,,,,
1435005123249.22,accelerometer,0.012878418,0.83351135,-0.3401947,,,,,,
1435005123351.22,accelerometer,0.09613037,0.9387207,-0.36601257,,,,,,
1435005123451.22,accelerometer,0.020889282,0.8351898,-0.32658386,,,,,,
1435005123564.22,accelerometer,0.034423828,1.0490875,-0.41325378,,,,,,
1435005123655.22,accelerometer,-0.05987549,0.9011383,-0.39100647,,,,,,
1435005123757.22,accelerometer,-0.048583984,0.74554443,-0.22013855,,,,,,
1435005123861.22,accelerometer,0.014373779,1.0019379,-0.2870636,,,,,,
1435005123962.22,accelerometer,0.09802246,0.8798218,-0.41255188,,,,,,
1435005123991.22,gps,,,,42.70928227,-84.4718373,266.5375214,5,19.62000084,0
1435005124061.22,accelerometer,0.11631775,1.0910492,-0.3795166,,,,,,
1435005124163.22,accelerometer,0.046569824,0.952713,-0.35110474,,,,,,
1435005124264.22,accelerometer,0.13821411,0.8858032,-0.3866577,,,,,,
1435005124367.22,accelerometer,-0.04421997,0.719162,-0.2796936,,,,,,
1435005124476.22,accelerometer,0.062057495,0.97702026,-0.41781616,,,,,,
1435005124571.22,accelerometer,0.09202576,1.0850983,-0.3477478,,,,,,
1435005124672.22,accelerometer,0.12730408,0.840744,-0.19526672,,,,,,
1435005124814.22,accelerometer,0.006439209,1.1227112,-0.4514618,,,,,,
1435005124886.22,accelerometer,0.012313843,1.0538788,-0.38591003,,,,,,
1435005124983.22,accelerometer,-0.036392212,0.7812042,-0.2904663,,,,,,
1435005125079.22,accelerometer,0.048355103,1.2074738,-0.53752136,,,,,,
1435005125151.22,gps,,,,42.70945616,-84.47181945,267.634201,5,19.57999992,0.703125
