timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1434718898101.26,gps,27.94417138,-82.28571408,13.7643816,5,5.820000172,0.703125,,,
1434718898166.26,accelerometer,,,,,,,0.13902283,-0.08276367,-1.039444
1434718898263.26,accelerometer,,,,,,,0.20033264,-0.0884552,-1.0392914
1434718898361.26,accelerometer,,,,,,,0.073516846,-0.13716125,-0.9956665
1434718898459.26,accelerometer,,,,,,,0.21421814,-0.119140625,-1.0582275
1434718898556.26,accelerometer,,,,,,,0.0927887,-0.17541504,-1.0510559
1434718898654.26,accelerometer,,,,,,,0.12527466,-0.10328674,-1.020401
1434718898751.26,accelerometer,,,,,,,0.0572052,-0.16870117,-0.9992981
1434718898849.26,accelerometer,,,,,,,0.10101318,-0.08543396,-0.9314575
1434718898950.26,accelerometer,,,,,,,0.046554565,-0.1815033,-0.947464
1434718899006.26,gps,27.94424447,-82.28571592,13.91092696,5,8.819999695,358.9453125,,,
1434718899044.26,accelerometer,,,,,,,0.0871582,-0.1346283,-0.96751404
1434718899142.26,accelerometer,,,,,,,0.03881836,-0.08711243,-1.0052032
1434718899239.26,accelerometer,,,,,,,0.040725708,-0.040145874,-1.0664062
1434718899337.26,accelerometer,,,,,,,0.11581421,-0.1722107,-1.1067657
1434718899434.26,accelerometer,,,,,,,0.01576233,-0.1737976,-0.9854584
1434718899532.26,accelerometer,,,,,,,0.03656006,-0.07902527,-1.023407
1434718899630.26,accelerometer,,,,,,,0.02810669,-0.16722107,-0.8888397
1434718899727.26,accelerometer,,,,,,,0.1456604,-9.16E-05,-1.3607483
1434718899824.26,accelerometer,,,,,,,0.23506165,-0.24479675,-0.87641907
1434718899925.26,accelerometer,,,,,,,0.016860962,-0.15055847,-0.963089
1434718900010.26,gps,27.94433809,-82.28571651,14.28604613,5,10.39000034,358.9453125,,,
1434718900020.26,accelerometer,,,,,,,0.07684326,0.0987854,-0.8773651
1434718900133.26,accelerometer,,,,,,,0.1315155,0.11898804,-0.9389038
1434718900215.26,accelerometer,,,,,,,0.12774658,-0.13430786,-1.0827332
1434718900312.26,accelerometer,,,,,,,0.05290222,-0.12660217,-0.79885864
1434718900410.26,accelerometer,,,,,,,0.15455627,0.08325195,-1.0560913
1434718900507.26,accelerometer,,,,,,,0.06556702,-0.12232971,-1.0564728
1434718900605.26,accelerometer,,,,,,,-0.009231567,-0.26345825,-0.83358765
1434718900703.26,accelerometer,,,,,,,-0.118652344,-0.012619019,-0.9431
1434718900800.26,accelerometer,,,,,,,0.058807373,0.0814209,-1.2117004
1434718900898.26,accelerometer,,,,,,,-0.076156616,-0.03730774,-0.9158478
1434718900997.26,accelerometer,,,,,,,0.0974884,0.096847534,-0.91711426
1434718901068.26,gps,27.94443792,-82.28572011,14.66934135,5,11.35000038,358.9453125,,,
1434718901093.26,accelerometer,,,,,,,-0.013687134,-0.058776855,-1.0340271
1434718901190.26,accelerometer,,,,,,,-0.006210327,-0.15315247,-1.0322876
1434718901288.26,accelerometer,,,,,,,0.017425537,-0.02293396,-0.93382263
1434718901386.26,accelerometer,,,,,,,0.06758118,0.021743774,-0.940567
1434718901483.26,accelerometer,,,,,,,0.02255249,0.05076599,-1.020401
1434718901581.26,accelerometer,,,,,,,0.006652832,0.027938843,-0.98321533
1434718901678.26,accelerometer,,,,,,,0.024810791,-0.02154541,-0.96180725
1434718901776.26,accelerometer,,,,,,,0.0703125,-0.03215027,-1.0011444
1434718901873.26,accelerometer,,,,,,,-0.012573242,-0.018875122,-1.0057068
1434718901978.26,accelerometer,,,,,,,-0.009613037,-0.008361816,-0.95495605
1434718902036.26,gps,27.9445458,-82.2857274,14.74785988,5,12.15999985,358.59375,,,
1434718902068.26,accelerometer,,,,,,,-0.036834717,0.041366577,-0.9797821
1434718902165.26,accelerometer,,,,,,,0.08363342,0.098968506,-1.0211029
1434718902263.26,accelerometer,,,,,,,-0.04032898,0.037750244,-1.0140991
1434718902361.26,accelerometer,,,,,,,-0.010314941,0.046554565,-0.99990845
1434718902459.26,accelerometer,,,,,,,-0.052474976,-0.00907898,-0.9738159
1434718902556.26,accelerometer,,,,,,,0.035202026,0.012542725,-0.99961853
1434718902654.26,accelerometer,,,,,,,-0.14187622,0.05050659,-0.9891968
1434718902751.26,accelerometer,,,,,,,-0.04890442,0.06806946,-1.0027466
1434718902879.26,accelerometer,,,,,,,-0.07695007,0.073013306,-0.97273254
1434718902947.26,accelerometer,,,,,,,-0.13148499,0.10571289,-1.0417633
1434718902998.26,gps,27.9446504,-82.28572933,14.64209737,10,12.14000034,358.9453125,,,
1434718903044.26,accelerometer,,,,,,,-0.09370422,0.092041016,-1.0357208
1434718903142.26,accelerometer,,,,,,,-0.14205933,0.12637329,-1.0924988
1434718903239.26,accelerometer,,,,,,,-0.16711426,0.09176636,-1.0580597
1434718903337.26,accelerometer,,,,,,,-0.12086487,0.15045166,-0.9934845
1434718903434.26,accelerometer,,,,,,,-0.22102356,0.093673706,-0.9572449
1434718903533.26,accelerometer,,,,,,,-0.09851074,0.1835022,-1.0865021
1434718903629.26,accelerometer,,,,,,,-0.10949707,0.19935608,-1.0648499
1434718903727.26,accelerometer,,,,,,,-0.18304443,0.1166687,-1.0126038
1434718903824.26,accelerometer,,,,,,,-0.10368347,0.15856934,-1.0509796
1434718903922.26,accelerometer,,,,,,,-0.18986511,0.08175659,-0.9142456
1434718904000.26,gps,27.94475254,-82.28573008,14.34418572,10,10.89999962,359.296875,,,
1434718904020.26,accelerometer,,,,,,,-0.11003113,0.1640625,-1.0122223
1434718904117.26,accelerometer,,,,,,,-0.17723083,0.11816406,-1.0492554
1434718904215.26,accelerometer,,,,,,,-0.17182922,0.16247559,-0.9974365
1434718904312.26,accelerometer,,,,,,,-0.22885132,0.1712799,-0.96443176
1434718904410.26,accelerometer,,,,,,,-0.13909912,0.16192627,-0.97610474
1434718904508.26,accelerometer,,,,,,,-0.16621399,0.13677979,-0.9904175
1434718904605.26,accelerometer,,,,,,,-0.16043091,0.12690735,-1.0067749
1434718904703.26,accelerometer,,,,,,,-0.16694641,0.12689209,-1.0129395
1434718904800.26,accelerometer,,,,,,,-0.1058197,0.14552307,-1.0068207
1434718904898.26,accelerometer,,,,,,,-0.20036316,0.11727905,-0.97732544
1434718904996.26,accelerometer,,,,,,,-0.15205383,0.17054749,-0.9447632
1434718904998.26,gps,27.94483057,-82.28573285,13.95062731,10,9.069999695,359.6484375,,,
1434718905093.26,accelerometer,,,,,,,-0.17622375,0.23191833,-0.9734497
1434718905191.26,accelerometer,,,,,,,-0.17074585,0.2472229,-1.0347748
1434718905288.26,accelerometer,,,,,,,-0.1381836,0.22154236,-1.0796661
1434718905386.26,accelerometer,,,,,,,-0.18663025,0.17732239,-0.986496
1434718905484.26,accelerometer,,,,,,,-0.24760437,0.25804138,-1.0269623
1434718905583.26,accelerometer,,,,,,,-0.24719238,0.13328552,-0.9762573
1434718905678.26,accelerometer,,,,,,,-0.19668579,0.20175171,-1.0031433
1434718905776.26,accelerometer,,,,,,,-0.1574707,0.16290283,-1.098938
1434718905873.26,accelerometer,,,,,,,-0.23728943,0.19024658,-1.0067902
1434718905994.26,accelerometer,,,,,,,-0.24803162,0.12232971,-0.94750977
1434718906004.26,gps,27.94490526,-82.28573235,13.23133359,10,6.960000038,0.3515625,,,
1434718906068.26,accelerometer,,,,,,,-0.23034668,0.19599915,-0.98835754
1434718906166.26,accelerometer,,,,,,,-0.14285278,0.10081482,-0.9838257
1434718906263.26,accelerometer,,,,,,,-0.14387512,0.12373352,-1.0102386
1434718906361.26,accelerometer,,,,,,,-0.08935547,0.118896484,-1.0586395
1434718906459.26,accelerometer,,,,,,,-0.1733551,0.06742859,-1.0098419
1434718906557.26,accelerometer,,,,,,,-0.14198303,0.08615112,-0.98402405
1434718906654.26,accelerometer,,,,,,,-0.18302917,0.029968262,-0.9547882
1434718906751.26,accelerometer,,,,,,,-0.13327026,-0.017364502,-0.9880066
1434718906849.26,accelerometer,,,,,,,-0.100997925,-0.045547485,-1.0588684
1434718906982.26,accelerometer,,,,,,,-0.07443237,-0.056289673,-1.0709839
1434718907002.26,gps,27.94496506,-82.28572916,13.0204325,10,6.090000153,3.515625,,,
1434718907044.26,accelerometer,,,,,,,-0.12060547,-0.15583801,-0.99142456
1434718907141.26,accelerometer,,,,,,,-0.13209534,-0.07157898,-0.93310547
1434718907239.26,accelerometer,,,,,,,-0.13565063,-0.13435364,-0.9754181
1434718907336.26,accelerometer,,,,,,,-0.10997009,-0.2006836,-1.0723877
1434718907434.26,accelerometer,,,,,,,-0.11631775,-0.16004944,-0.98869324
1434718907532.26,accelerometer,,,,,,,-0.15060425,-0.029129028,-1.0791931
1434718907629.26,accelerometer,,,,,,,-0.31529236,-0.11175537,-0.9913788
1434718907727.26,accelerometer,,,,,,,-0.1722107,-0.17384338,-0.9849701
1434718907824.26,accelerometer,,,,,,,-0.2714386,-0.29951477,-1.1358337
1434718907923.26,accelerometer,,,,,,,-0.269104,-0.21885681,-1.0608978
1434718907995.26,gps,27.9450029,-82.28571223,12.950698,10,5.809999943,16.5234375,,,
1434718908020.26,accelerometer,,,,,,,-0.14682007,-0.12875366,-0.9943085
1434718908117.26,accelerometer,,,,,,,-0.2206726,-0.23994446,-1.0075989
1434718908215.26,accelerometer,,,,,,,-0.3119812,-0.39189148,-0.9972992
1434718908312.26,accelerometer,,,,,,,-0.0652771,-0.07951355,-1.0180817
1434718908411.26,accelerometer,,,,,,,-0.33676147,-0.19960022,-0.90515137
1434718908508.26,accelerometer,,,,,,,-0.2016449,-0.23982239,-1.0277863
1434718908605.26,accelerometer,,,,,,,-0.24298096,-0.16990662,-0.972702
1434718908702.26,accelerometer,,,,,,,-0.15335083,-0.3292389,-1.0084686
1434718908800.26,accelerometer,,,,,,,-0.06842041,-0.07081604,-1.047699
1434718908898.26,accelerometer,,,,,,,-0.38916016,-0.31530762,-0.99594116
1434718909000.26,accelerometer,,,,,,,-0.0710907,-0.18133545,-1.0888519
1434718909000.26,gps,27.94504134,-82.28567032,12.94027816,10,5.849999905,42.5390625,,,
1434718909093.26,accelerometer,,,,,,,-0.22233582,-0.36468506,-1.0986938
1434718909190.26,accelerometer,,,,,,,-0.3396454,-0.21665955,-1.0454102
1434718909288.26,accelerometer,,,,,,,-0.18130493,-0.29493713,-0.9933319
1434718909386.26,accelerometer,,,,,,,-0.2054596,-0.3240509,-1.0106659
1434718909483.26,accelerometer,,,,,,,-0.16389465,-0.29414368,-1.08078
1434718909580.26,accelerometer,,,,,,,-0.123291016,-0.29310608,-1.0229645
1434718909679.26,accelerometer,,,,,,,-0.07521057,-0.23939514,-1.0814972
1434718909775.26,accelerometer,,,,,,,-0.095565796,-0.25416565,-1.0585938
1434718909874.26,accelerometer,,,,,,,-0.15293884,-0.43232727,-0.98309326
1434718909994.26,accelerometer,,,,,,,-0.09805298,-0.34150696,-1.0014343
1434718910002.26,gps,27.94506095,-82.28561332,13.05341902,5,6.789999962,69.9609375,,,
1434718910068.26,accelerometer,,,,,,,-0.072128296,-0.28707886,-1.0171051
1434718910166.26,accelerometer,,,,,,,-0.06803894,-0.2883606,-0.96421814
1434718910263.26,accelerometer,,,,,,,0.15441895,-0.21002197,-1.1425323
1434718910362.26,accelerometer,,,,,,,-0.004867554,-0.23254395,-1.0982208
1434718910458.26,accelerometer,,,,,,,0.07461548,-0.1581726,-1.013855
1434718910556.26,accelerometer,,,,,,,0.034835815,-0.13366699,-0.9578247
1434718910653.26,accelerometer,,,,,,,0.07496643,-0.08166504,-1.008194
1434718910751.26,accelerometer,,,,,,,0.1181488,-0.2220459,-0.9534149
1434718910850.26,accelerometer,,,,,,,0.12973022,-0.1632843,-1.0273743
1434718910951.26,accelerometer,,,,,,,0.0921936,-0.09631348,-0.9841156
1434718911003.26,gps,27.94507537,-82.2855306,13.34531045,5,8.630000114,85.4296875,,,
1434718911044.26,accelerometer,,,,,,,0.14424133,-0.18630981,-1.0179138
1434718911141.26,accelerometer,,,,,,,0.07757568,-0.19850159,-1.0373077
1434718911239.26,accelerometer,,,,,,,0.14801025,-0.12437439,-0.9777374
1434718911337.26,accelerometer,,,,,,,0.20500183,-0.24354553,-1.0055847
1434718911363.26,gps,27.94507537,-82.2855306,13.34531045,5,8.630000114,85.4296875,,,
1434718911434.26,accelerometer,,,,,,,0.09411621,-0.28274536,-1.0339813
1434718911531.26,accelerometer,,,,,,,-0.000488281,-0.25856018,-0.9705658
1434718911629.26,accelerometer,,,,,,,0.049438477,-0.17759705,-0.9187012
1434718911727.26,accelerometer,,,,,,,0.15412903,-0.17645264,-1.0249481
1434718911824.26,accelerometer,,,,,,,0.14109802,-0.19404602,-1.0122681
1434718911922.26,accelerometer,,,,,,,0.18502808,-0.18338013,-0.97792053
1434718911988.26,gps,27.94507931,-82.2854285,13.63205582,5,10.73999977,88.2421875,,,
