timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1426797921058.87,gps,39.18944771,-106.9488489,2980.754597,5,2.670000076,195.46875,,,
1426797921113.87,accelerometer,,,,,,,-0.23355103,0.14439392,0.96035767
1426797921209.87,accelerometer,,,,,,,-0.25697327,0.16184998,0.94000244
1426797921306.87,accelerometer,,,,,,,-0.17102051,0.20593262,0.97598267
1426797921403.87,accelerometer,,,,,,,-0.07991028,0.2532959,0.97494507
1426797921500.87,accelerometer,,,,,,,-0.001281738,0.1375122,0.89741516
1426797921597.87,accelerometer,,,,,,,-0.18739319,0.18965149,1.0594177
1426797921694.87,accelerometer,,,,,,,-0.21946716,0.26045227,0.9867096
1426797921792.87,accelerometer,,,,,,,-0.12976074,0.07066345,1.1324463
1426797921892.87,accelerometer,,,,,,,0.10609436,-0.045013428,0.8157196
1426797921972.87,gps,39.18942265,-106.9488571,2981.650569,5,2.700000048,195.1171875,,,
1426797921985.87,accelerometer,,,,,,,0.26623535,-0.052444458,0.6068268
1426797922082.87,accelerometer,,,,,,,0.061447144,0.4356079,1.019928
1426797922179.87,accelerometer,,,,,,,-0.7750397,0.12197876,1.053833
1426797922278.87,accelerometer,,,,,,,0.20355225,-0.16255188,0.43951416
1426797922374.87,accelerometer,,,,,,,-0.43389893,-0.09991455,0.8401947
1426797922475.87,accelerometer,,,,,,,-0.62571716,0.029418945,0.9413452
1426797922568.87,accelerometer,,,,,,,-0.3989563,-0.09590149,0.8974304
1426797922675.87,accelerometer,,,,,,,-0.62472534,0.010009766,0.8754425
1426797922762.87,accelerometer,,,,,,,-0.81207275,-0.09164429,0.8659973
1426797922859.87,accelerometer,,,,,,,-0.7314606,-0.05203247,0.74653625
1426797922957.87,accelerometer,,,,,,,-0.29255676,-0.083740234,0.37168884
1426797923056.87,accelerometer,,,,,,,-0.42514038,-0.08119202,0.59851074
1426797923063.87,gps,39.18939855,-106.9488648,2982.362592,5,2.640000105,194.4140625,,,
1426797923152.87,accelerometer,,,,,,,-0.90615845,0.7150116,0.7271118
1426797923254.87,accelerometer,,,,,,,-0.23561096,0.13388062,1.08255
1426797923347.87,accelerometer,,,,,,,-0.48059082,0.077301025,0.768631
1426797923441.87,accelerometer,,,,,,,-0.38198853,0.2193451,0.9485321
1426797923548.87,accelerometer,,,,,,,-0.36064148,0.19441223,0.92155457
1426797923635.87,accelerometer,,,,,,,-0.3477173,0.22323608,0.88946533
1426797923732.87,accelerometer,,,,,,,-0.37850952,0.20306396,0.9141083
1426797923829.87,accelerometer,,,,,,,-0.31776428,0.18379211,0.89993286
1426797923931.87,accelerometer,,,,,,,-0.28829956,0.15220642,0.8957367
1426797923987.87,gps,39.1893737,-106.9488719,2982.807599,5,2.74000001,193.0078125,,,
1426797924025.87,accelerometer,,,,,,,-0.3182373,0.09475708,0.9212036
1426797924120.87,accelerometer,,,,,,,-0.28759766,0.13058472,0.9189453
1426797924217.87,accelerometer,,,,,,,-0.27903748,0.10983276,0.902771
1426797924318.87,accelerometer,,,,,,,-0.308136,0.23426819,0.85546875
1426797924411.87,accelerometer,,,,,,,-0.31340027,0.17272949,0.9182739
1426797924512.87,accelerometer,,,,,,,-0.30715942,0.1322174,0.9187927
1426797924608.87,accelerometer,,,,,,,-0.34153748,0.2541809,0.92858887
1426797924706.87,accelerometer,,,,,,,-0.31347656,0.17112732,0.9875488
1426797924803.87,accelerometer,,,,,,,-0.27635193,0.17330933,0.95188904
1426797924904.87,accelerometer,,,,,,,-0.2428894,0.13806152,1.0005035
1426797924977.87,gps,39.18934868,-106.9488788,2982.915666,5,2.730000019,193.359375,,,
1426797924998.87,accelerometer,,,,,,,-0.21043396,0.18667603,0.94441223
1426797925095.87,accelerometer,,,,,,,-0.21116638,0.16107178,0.94970703
1426797925191.87,accelerometer,,,,,,,-0.19851685,0.18824768,0.9306488
1426797925299.87,accelerometer,,,,,,,-0.2059021,0.18141174,0.94384766
1426797925395.87,accelerometer,,,,,,,-0.20265198,0.16072083,0.93696594
1426797925482.87,accelerometer,,,,,,,-0.19404602,0.15238953,0.96315
1426797925580.87,accelerometer,,,,,,,-0.19482422,0.17538452,0.92733765
1426797925682.87,accelerometer,,,,,,,-0.2106781,0.18112183,0.9300842
1426797925774.87,accelerometer,,,,,,,-0.2056427,0.15872192,0.953949
1426797925871.87,accelerometer,,,,,,,-0.18873596,0.18173218,0.9736023
1426797925971.87,accelerometer,,,,,,,-0.20814514,0.16923523,0.95022583
1426797925984.87,gps,39.18932408,-106.9488856,2981.536312,5,2.730000019,195.1171875,,,
1426797926069.87,accelerometer,,,,,,,-0.20510864,0.17700195,0.96406555
1426797926162.87,accelerometer,,,,,,,-0.20736694,0.16804504,0.9881897
1426797926263.87,accelerometer,,,,,,,-0.21058655,0.17694092,0.97268677
1426797926356.87,accelerometer,,,,,,,-0.21084595,0.1758728,0.95809937
1426797926454.87,accelerometer,,,,,,,-0.2052002,0.18511963,0.94911194
1426797926550.87,accelerometer,,,,,,,-0.20666504,0.18841553,0.9564972
1426797926652.87,accelerometer,,,,,,,-0.21166992,0.18208313,0.94140625
1426797926744.87,accelerometer,,,,,,,-0.20011902,0.18579102,0.93411255
1426797926841.87,accelerometer,,,,,,,-0.19386292,0.16729736,0.9518738
1426797926939.87,accelerometer,,,,,,,-0.19810486,0.17501831,0.952713
1426797926979.87,gps,39.18929835,-106.9488936,2983.184949,5,2.74000001,193.7109375,,,
1426797927042.87,accelerometer,,,,,,,-0.19258118,0.17799377,0.950058
1426797927136.87,accelerometer,,,,,,,-0.18655396,0.16036987,0.95410156
1426797927233.87,accelerometer,,,,,,,-0.18817139,0.16053772,0.96151733
1426797927330.87,accelerometer,,,,,,,-0.18476868,0.17204285,0.9588623
1426797927421.87,accelerometer,,,,,,,-0.18502808,0.16394043,0.9660797
1426797927517.87,accelerometer,,,,,,,-0.18170166,0.16275024,0.9588928
1426797927614.87,accelerometer,,,,,,,-0.18296814,0.16323853,0.95606995
1426797927713.87,accelerometer,,,,,,,-0.18536377,0.16647339,0.9463196
1426797927810.87,accelerometer,,,,,,,-0.17692566,0.15783691,0.94415283
1426797927908.87,accelerometer,,,,,,,-0.1789856,0.16130066,0.93208313
1426797927988.87,gps,39.18927232,-106.9489016,2984.311316,5,2.599999905,192.65625,,,
1426797928016.87,accelerometer,,,,,,,-0.18031311,0.15504456,0.9319458
1426797928103.87,accelerometer,,,,,,,-0.18188477,0.15811157,0.9397888
1426797928198.87,accelerometer,,,,,,,-0.17666626,0.15745544,0.9393616
1426797928306.87,accelerometer,,,,,,,-0.17489624,0.1614685,0.93141174
1426797928392.87,accelerometer,,,,,,,-0.18229675,0.15986633,0.9413605
1426797928490.87,accelerometer,,,,,,,-0.18574524,0.16821289,0.94169617
1426797928588.87,accelerometer,,,,,,,-0.1816101,0.16572571,0.9490967
