timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1435091802360.51,gps,33.81375032,-84.33378241,295.6110516,10,5.710000038,264.0234375,,,
1435091802423.51,accelerometer,,,,,,,0.27766418,0.46522522,-0.89312744
1435091802523.51,accelerometer,,,,,,,0.276474,0.46969604,-0.8507538
1435091802625.51,accelerometer,,,,,,,0.2982025,0.4607544,-0.86283875
1435091802719.51,accelerometer,,,,,,,0.2669525,0.45516968,-0.8568115
1435091802827.51,accelerometer,,,,,,,0.27264404,0.45376587,-0.9048004
1435091802920.51,accelerometer,,,,,,,0.28979492,0.47294617,-0.8538208
1435091803010.51,gps,33.81374483,-84.33380906,295.0933514,10,4.119999886,262.265625,,,
1435091803015.51,accelerometer,,,,,,,0.29519653,0.45030212,-0.86047363
1435091803111.51,accelerometer,,,,,,,0.3367157,0.4487915,-0.8473358
1435091803214.51,accelerometer,,,,,,,0.32078552,0.4439392,-0.8579407
1435091803318.51,accelerometer,,,,,,,0.3262024,0.43051147,-0.857254
1435091803410.51,accelerometer,,,,,,,0.3321991,0.44548035,-0.8489075
1435091803508.51,accelerometer,,,,,,,0.33599854,0.43374634,-0.8493805
1435091803710.51,accelerometer,,,,,,,0.37960815,0.42971802,-0.8484192
1435091803710.51,accelerometer,,,,,,,0.51208496,0.34901428,-0.8213806
1435091803802.51,accelerometer,,,,,,,0.47296143,0.35514832,-0.7707977
1435091803900.51,accelerometer,,,,,,,0.27853394,0.41914368,-0.870636
1435091803998.51,accelerometer,,,,,,,0.41192627,0.385849,-0.85643005
1435091804006.51,gps,33.81374551,-84.3338441,294.8586102,10,2.960000038,256.9921875,,,
1435091804099.51,accelerometer,,,,,,,0.52253723,0.3795929,-0.78453064
1435091804195.51,accelerometer,,,,,,,0.3754425,0.38658142,-0.8405304
1435091804293.51,accelerometer,,,,,,,0.38635254,0.38394165,-0.84446716
1435091804392.51,accelerometer,,,,,,,0.44493103,0.38357544,-0.83091736
1435091804524.51,accelerometer,,,,,,,0.40551758,0.3782959,-0.8223114
1435091804590.51,accelerometer,,,,,,,0.4172516,0.37612915,-0.8264313
1435091804689.51,accelerometer,,,,,,,0.4122162,0.40193176,-0.83662415
1435091804797.51,accelerometer,,,,,,,0.4058075,0.37538147,-0.82917786
1435091804893.51,accelerometer,,,,,,,0.43156433,0.37335205,-0.8193054
1435091804990.51,accelerometer,,,,,,,0.402771,0.3842163,-0.8364563
1435091804992.51,gps,33.8137471,-84.33382005,294.3844891,10,1.789999962,253.4765625,,,
1435091805084.51,accelerometer,,,,,,,0.40222168,0.38446045,-0.83096313
1435091805184.51,accelerometer,,,,,,,0.42694092,0.38755798,-0.8217163
1435091805285.51,accelerometer,,,,,,,0.41322327,0.37449646,-0.8291626
1435091805381.51,accelerometer,,,,,,,0.41149902,0.3846283,-0.83709717
1435091805472.51,accelerometer,,,,,,,0.40979004,0.3856964,-0.8313446
1435091805571.51,accelerometer,,,,,,,0.4126587,0.3777008,-0.8266144
1435091805670.51,accelerometer,,,,,,,0.42184448,0.38801575,-0.826355
1435091805769.51,accelerometer,,,,,,,0.40847778,0.3847046,-0.8366089
1435091805886.51,accelerometer,,,,,,,0.41362,0.3824768,-0.83143616
1435091805968.51,accelerometer,,,,,,,0.41679382,0.38076782,-0.8257446
1435091805979.51,gps,33.81375607,-84.33374746,293.1625652,10,1.5,223.9453125,,,
1435091806073.51,accelerometer,,,,,,,0.40571594,0.38459778,-0.83148193
1435091806173.51,accelerometer,,,,,,,0.4176941,0.39160156,-0.8299408
1435091806263.51,accelerometer,,,,,,,0.41409302,0.38174438,-0.8306732
1435091806359.51,accelerometer,,,,,,,0.41326904,0.375412,-0.8297119
1435091806458.51,accelerometer,,,,,,,0.4152527,0.39172363,-0.8266907
1435091806557.51,accelerometer,,,,,,,0.40074158,0.3771515,-0.83509827
1435091806655.51,accelerometer,,,,,,,0.41578674,0.38671875,-0.8260803
1435091806754.51,accelerometer,,,,,,,0.4196167,0.3813324,-0.82870483
1435091806852.51,accelerometer,,,,,,,0.41070557,0.38052368,-0.83280945
1435091806953.51,accelerometer,,,,,,,0.41593933,0.3897705,-0.82751465
1435091807004.51,gps,33.81375607,-84.33374746,294.1316814,10,0,252.421875,,,
1435091807048.51,accelerometer,,,,,,,0.41049194,0.37974548,-0.83000183
1435091807147.51,accelerometer,,,,,,,0.41661072,0.38365173,-0.8318329
1435091807246.51,accelerometer,,,,,,,0.4152069,0.38955688,-0.83125305
1435091807345.51,accelerometer,,,,,,,0.4139862,0.37709045,-0.8282776
1435091807446.51,accelerometer,,,,,,,0.41848755,0.38404846,-0.8259125
1435091807542.51,accelerometer,,,,,,,0.40255737,0.37800598,-0.8323364
1435091807642.51,accelerometer,,,,,,,0.4196167,0.38591003,-0.8294525
1435091807739.51,accelerometer,,,,,,,0.41397095,0.38142395,-0.83021545
1435091807839.51,accelerometer,,,,,,,0.41912842,0.3772583,-0.83052063
1435091807937.51,accelerometer,,,,,,,0.40682983,0.3798828,-0.8305969
1435091808074.51,accelerometer,,,,,,,0.41108704,0.37971497,-0.83232117
1435091808079.51,gps,33.81375607,-84.33374746,294.4483318,10,0,252.421875,,,
1435091808135.51,accelerometer,,,,,,,0.4225464,0.38911438,-0.8281708
1435091808231.51,accelerometer,,,,,,,0.4116974,0.37606812,-0.8300934
1435091808338.51,accelerometer,,,,,,,0.41714478,0.38575745,-0.8295746
1435091808429.51,accelerometer,,,,,,,0.40756226,0.37579346,-0.8357239
1435091808529.51,accelerometer,,,,,,,0.42227173,0.38598633,-0.8289337
1435091808626.51,accelerometer,,,,,,,0.40863037,0.38101196,-0.8293762
1435091808724.51,accelerometer,,,,,,,0.41653442,0.38111877,-0.83055115
1435091808823.51,accelerometer,,,,,,,0.40782166,0.3801117,-0.83280945
1435091808928.51,accelerometer,,,,,,,0.41392517,0.37954712,-0.83273315
1435091809005.51,gps,33.81375607,-84.33374746,294.4964275,10,0,252.421875,,,
1435091809019.51,accelerometer,,,,,,,0.41667175,0.38316345,-0.8296356
1435091809119.51,accelerometer,,,,,,,0.41293335,0.3799286,-0.8319092
1435091809218.51,accelerometer,,,,,,,0.4116211,0.38269043,-0.8252411
1435091809326.51,accelerometer,,,,,,,0.40898132,0.37620544,-0.8316803
1435091809417.51,accelerometer,,,,,,,0.41822815,0.38615417,-0.82850647
1435091809516.51,accelerometer,,,,,,,0.41130066,0.37670898,-0.8342285
1435091809613.51,accelerometer,,,,,,,0.41548157,0.38531494,-0.82774353
1435091809723.51,accelerometer,,,,,,,0.40452576,0.3771515,-0.83283997
1435091809811.51,accelerometer,,,,,,,0.42079163,0.38586426,-0.8291931
1435091809914.51,accelerometer,,,,,,,0.41119385,0.38012695,-0.83192444
1435091810007.51,accelerometer,,,,,,,0.41947937,0.38131714,-0.8282776
1435091810017.51,gps,33.81375607,-84.33374746,294.0879192,10,0,252.421875,,,
1435091810105.51,accelerometer,,,,,,,0.40364075,0.37696838,-0.833786
1435091810204.51,accelerometer,,,,,,,0.4166565,0.38594055,-0.8319702
1435091810303.51,accelerometer,,,,,,,0.41142273,0.3831787,-0.83277893
1435091810403.51,accelerometer,,,,,,,0.41566467,0.3772583,-0.8309479
1435091810500.51,accelerometer,,,,,,,0.40733337,0.3812256,-0.83161926
1435091810602.51,accelerometer,,,,,,,0.4128723,0.37625122,-0.83200073
1435091810698.51,accelerometer,,,,,,,0.41929626,0.38659668,-0.8289795
1435091810795.51,accelerometer,,,,,,,0.4121399,0.37731934,-0.82962036
1435091810895.51,accelerometer,,,,,,,0.41046143,0.38201904,-0.82777405
1435091810992.51,accelerometer,,,,,,,0.41119385,0.38027954,-0.8313751
1435091811053.51,gps,33.81375607,-84.33374746,293.8498821,10,0,252.421875,,,
1435091811093.51,gps,33.81375607,-84.33374746,293.8498821,10,0,252.421875,,,
1435091811096.51,gps,33.81375607,-84.33374746,293.8498821,10,0,252.421875,,,
1435091811102.51,accelerometer,,,,,,,0.4199524,0.38380432,-0.82714844
1435091811103.51,gps,33.81375607,-84.33374746,293.8498821,10,0,252.421875,,,
1435091811189.51,accelerometer,,,,,,,0.41360474,0.3766327,-0.8323364
1435091811289.51,accelerometer,,,,,,,0.41090393,0.38349915,-0.829895
1435091811386.51,accelerometer,,,,,,,0.41319275,0.38041687,-0.83239746
1435091811485.51,accelerometer,,,,,,,0.41618347,0.38627625,-0.8259125
1435091811584.51,accelerometer,,,,,,,0.41212463,0.37672424,-0.83322144
1435091811682.51,accelerometer,,,,,,,0.41641235,0.38171387,-0.828598
1435091811784.51,accelerometer,,,,,,,0.41049194,0.37568665,-0.8337555
1435091811881.51,accelerometer,,,,,,,0.41923523,0.3877411,-0.83073425
1435091811983.51,accelerometer,,,,,,,0.40896606,0.37695312,-0.8334198
1435091812000.51,gps,33.81375607,-84.33374746,293.382658,10,0,252.421875,,,
1435091812076.51,accelerometer,,,,,,,0.41542053,0.38371277,-0.82936096
1435091812186.51,accelerometer,,,,,,,0.4038086,0.37754822,-0.82891846
1435091812275.51,accelerometer,,,,,,,0.4194336,0.38320923,-0.8303833
1435091812373.51,accelerometer,,,,,,,0.41159058,0.37760925,-0.8301544
1435091812480.51,accelerometer,,,,,,,0.41555786,0.37760925,-0.8281555
1435091812569.51,accelerometer,,,,,,,0.4075775,0.38024902,-0.82943726
1435091812668.51,accelerometer,,,,,,,0.41506958,0.37983704,-0.8302307
1435091812767.51,accelerometer,,,,,,,0.41363525,0.38142395,-0.82933044
1435091812866.51,accelerometer,,,,,,,0.41394043,0.37602234,-0.8326874
1435091812950.51,gps,33.81375607,-84.33374746,292.9858074,10,0,252.421875,,,
1435091812965.51,accelerometer,,,,,,,0.4094391,0.38189697,-0.8321228
1435091813061.51,accelerometer,,,,,,,0.41363525,0.37980652,-0.82995605
1435091813161.51,accelerometer,,,,,,,0.41427612,0.38433838,-0.8301544
1435091813259.51,accelerometer,,,,,,,0.41383362,0.3777771,-0.8334961
1435091813358.51,accelerometer,,,,,,,0.40608215,0.3788452,-0.83335876
1435091813465.51,accelerometer,,,,,,,0.41825867,0.38327026,-0.8288727
1435091813558.51,accelerometer,,,,,,,0.40930176,0.3774414,-0.83587646
1435091813653.51,accelerometer,,,,,,,0.41853333,0.38563538,-0.82936096
1435091813752.51,accelerometer,,,,,,,0.40452576,0.37832642,-0.835907
1435091813856.51,accelerometer,,,,,,,0.41828918,0.3860016,-0.82754517
1435091813960.51,accelerometer,,,,,,,0.41166687,0.37425232,-0.8353424
1435091813972.51,gps,33.81375607,-84.33374746,293.1376629,10,0,252.421875,,,
1435091814047.51,accelerometer,,,,,,,0.41304016,0.38487244,-0.82928467
1435091814146.51,accelerometer,,,,,,,0.41168213,0.37638855,-0.83306885
1435091814247.51,accelerometer,,,,,,,0.4205475,0.3875885,-0.8319397
1435091814346.51,accelerometer,,,,,,,0.4153595,0.37553406,-0.8339081
1435091814442.51,accelerometer,,,,,,,0.41107178,0.38441467,-0.82455444
1435091814542.51,accelerometer,,,,,,,0.40805054,0.37564087,-0.83369446
1435091814638.51,accelerometer,,,,,,,0.42007446,0.387146,-0.8298645
1435091814737.51,accelerometer,,,,,,,0.4128723,0.37339783,-0.83457947
1435091814846.51,accelerometer,,,,,,,0.41497803,0.38607788,-0.8261566
1435091814935.51,accelerometer,,,,,,,0.40379333,0.37602234,-0.83587646
1435091814964.51,gps,33.81375607,-84.33374746,293.8397503,10,0,252.421875,,,
1435091815034.51,accelerometer,,,,,,,0.4136505,0.38308716,-0.8319855
1435091815135.51,accelerometer,,,,,,,0.40681458,0.3786621,-0.8293457
1435091815230.51,accelerometer,,,,,,,0.40882874,0.38926697,-0.8280182
1435091815329.51,accelerometer,,,,,,,0.44041443,0.38806152,-0.8180847
1435091815431.51,accelerometer,,,,,,,0.42108154,0.36021423,-0.8368225
1435091815548.51,accelerometer,,,,,,,0.4264984,0.37498474,-0.8283386
1435091815623.51,accelerometer,,,,,,,0.427536,0.38619995,-0.821579
1435091815722.51,accelerometer,,,,,,,0.44540405,0.37908936,-0.8139038
1435091815823.51,accelerometer,,,,,,,0.4268036,0.3757782,-0.82569885
1435091815921.51,accelerometer,,,,,,,0.45004272,0.36546326,-0.8246765
1435091815921.51,gps,33.81375607,-84.33374746,293.9203777,10,0,252.421875,,,
1435091816019.51,accelerometer,,,,,,,0.42803955,0.3757782,-0.8319855
1435091816119.51,accelerometer,,,,,,,0.4382019,0.3847351,-0.81622314
1435091816218.51,accelerometer,,,,,,,0.43041992,0.37208557,-0.8200531
1435091816353.51,accelerometer,,,,,,,0.4260559,0.37760925,-0.8347931
1435091816414.51,accelerometer,,,,,,,0.42959595,0.37702942,-0.81967163
1435091816415.51,gps,33.81375607,-84.33374746,293.9203777,10,0,252.421875,,,
1435091816429.51,gps,33.81375607,-84.33374746,293.9203777,10,0,252.421875,,,
1435091816429.51,gps,33.81375607,-84.33374746,293.9203777,10,0,252.421875,,,
