timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1431563748177.90,gps,41.90865428,-87.67572608,183.1295471,10,13.13000011,310.4296875,,,
1431563748317.90,accelerometer,,,,,,,-0.12799072,-0.4494171,-0.88742065
1431563748416.90,accelerometer,,,,,,,-0.00050354,-0.32705688,-0.965683
1431563748511.90,accelerometer,,,,,,,-0.046340942,-0.41319275,-0.98947144
1431563748615.90,accelerometer,,,,,,,-0.07647705,-0.4399109,-0.9851074
1431563748706.90,accelerometer,,,,,,,-0.09527588,-0.46650696,-0.9381561
1431563748797.90,accelerometer,,,,,,,-0.009719849,-0.38978577,-0.9260559
1431563748897.90,accelerometer,,,,,,,-0.02293396,-0.39741516,-0.97612
1431563748978.90,gps,41.90867226,-87.67580269,182.9617615,10,12.96000004,309.375,,,
1431563748994.90,accelerometer,,,,,,,-0.08880615,-0.4298706,-0.86468506
1431563749098.90,accelerometer,,,,,,,-0.08312988,-0.46914673,-0.87361145
1431563749186.90,accelerometer,,,,,,,-0.14743042,-0.48623657,-0.8030853
1431563749283.90,accelerometer,,,,,,,-0.05682373,-0.48075867,-0.8815918
1431563749381.90,accelerometer,,,,,,,-0.13909912,-0.63412476,-0.96850586
1431563749482.90,accelerometer,,,,,,,-0.16517639,-0.5585327,-0.9702759
1431563749578.90,accelerometer,,,,,,,-0.19224548,-0.4586029,-0.6971588
1431563749674.90,accelerometer,,,,,,,-0.16603088,-0.5966797,-0.77500916
1431563749771.90,accelerometer,,,,,,,-0.24125671,-0.60549927,-0.81526184
1431563749869.90,accelerometer,,,,,,,-0.1453247,-0.5667114,-0.9987488
1431563749966.90,accelerometer,,,,,,,-0.109558105,-0.613327,-0.6524353
1431563750008.90,gps,41.90885599,-87.6759596,183.4251404,10,13.89000034,306.5625,,,
1431563750063.90,accelerometer,,,,,,,-0.13493347,-0.5797272,-0.8005829
1431563750163.90,accelerometer,,,,,,,-0.09919739,-0.47128296,-0.9905243
1431563750277.90,accelerometer,,,,,,,-0.054504395,-0.4336853,-0.9437866
1431563750360.90,accelerometer,,,,,,,-0.04573059,-0.417511,-0.8955536
1431563750466.90,accelerometer,,,,,,,-0.1377716,-0.49118042,-0.766922
1431563750568.90,accelerometer,,,,,,,-0.106903076,-0.416687,-0.9116974
1431563750668.90,accelerometer,,,,,,,-0.12911987,-0.4330597,-0.8514862
1431563750760.90,accelerometer,,,,,,,-0.13841248,-0.36958313,-0.87532043
1431563750845.90,accelerometer,,,,,,,0.20240784,-0.28779602,-1.0264893
1431563750947.90,accelerometer,,,,,,,0.06729126,-0.42211914,-0.83299255
1431563750984.90,gps,41.90896525,-87.67609555,183.2607117,10,15.17000008,312.5390625,,,
1431563751043.90,accelerometer,,,,,,,0.06669617,-0.33929443,-0.96772766
1431563751137.90,accelerometer,,,,,,,0.112472534,-0.3847351,-0.87809753
1431563751238.90,accelerometer,,,,,,,0.07763672,-0.3738556,-0.93000793
1431563751333.90,accelerometer,,,,,,,0.08831787,-0.35517883,-0.9155121
1431563751444.90,accelerometer,,,,,,,-0.043899536,-0.3715515,-0.9277649
1431563751534.90,accelerometer,,,,,,,-0.13739014,-0.5511322,-0.8043976
1431563751629.90,accelerometer,,,,,,,-0.32788086,-0.57069397,-0.9135132
1431563751729.90,accelerometer,,,,,,,-0.36715698,-0.57151794,-0.8692932
1431563751830.90,accelerometer,,,,,,,-0.4090271,-0.5231018,-0.79141235
1431563751926.90,accelerometer,,,,,,,-0.18580627,-0.4239502,-0.71754456
1431563751971.90,gps,41.9090393,-87.67622782,183.2207947,10,15.25,310.4296875,,,
1431563752017.90,accelerometer,,,,,,,-0.15887451,-0.5251465,-0.873291
1431563752114.90,accelerometer,,,,,,,-0.13595581,-0.40766907,-0.7937012
1431563752214.90,accelerometer,,,,,,,-0.11898804,-0.48036194,-0.8399658
1431563752310.90,accelerometer,,,,,,,-0.059188843,-0.41267395,-0.9166107
1431563752409.90,accelerometer,,,,,,,-0.05923462,-0.5343628,-1.0111237
1431563752504.90,accelerometer,,,,,,,-0.032455444,-0.40548706,-1.0249634
1431563752603.90,accelerometer,,,,,,,-0.050491333,-0.38490295,-0.98417664
1431563752700.90,accelerometer,,,,,,,-0.07588196,-0.25526428,-0.91744995
1431563752798.90,accelerometer,,,,,,,-0.03265381,-0.24594116,-0.96751404
1431563752914.90,accelerometer,,,,,,,-0.020736694,-0.1659851,-0.98960876
1431563752973.90,gps,41.90912174,-87.67636822,183.1642761,10,15.09000015,310.078125,,,
1431563752993.90,accelerometer,,,,,,,-0.0443573,-0.1928711,-1.0254211
1431563753089.90,accelerometer,,,,,,,-0.05899048,-0.19659424,-1.0062256
1431563753190.90,accelerometer,,,,,,,-0.06474304,-0.19197083,-1.0077667
1431563753284.90,accelerometer,,,,,,,-0.019607544,-0.088409424,-1.1002197
