timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1431453682051.11,gps,26.13073657,-80.10599001,2.888484955,5,12.26000023,180,,,
1431453682116.11,accelerometer,,,,,,,-0.11633301,-0.6508179,-0.65037537
1431453682214.11,accelerometer,,,,,,,-0.17071533,-0.77516174,-0.74183655
1431453682322.11,accelerometer,,,,,,,-0.13092041,-0.69802856,-0.59991455
1431453682422.11,accelerometer,,,,,,,-0.11981201,-0.7491913,-0.80137634
1431453682517.11,accelerometer,,,,,,,-0.15089417,-0.69325256,-0.61286926
1431453682610.11,accelerometer,,,,,,,-0.05984497,-0.73106384,-0.68911743
1431453682710.11,accelerometer,,,,,,,-0.07557678,-0.68569946,-0.7410736
1431453682799.11,accelerometer,,,,,,,-0.09069824,-0.72776794,-0.67388916
1431453682896.11,accelerometer,,,,,,,-0.07897949,-0.63842773,-0.7441864
1431453682994.11,accelerometer,,,,,,,-0.036468506,-0.59710693,-0.72239685
1431453683025.11,gps,26.13062044,-80.10598314,3.118312836,5,12.69999981,181.0546875,,,
1431453683101.11,accelerometer,,,,,,,-0.10549927,-0.6456299,-0.80366516
1431453683192.11,accelerometer,,,,,,,-0.018234253,-0.6237793,-0.8760681
1431453683287.11,accelerometer,,,,,,,-0.11717224,-0.52534485,-0.8115845
1431453683384.11,accelerometer,,,,,,,-0.15414429,-0.8263092,-1.03479
1431453683492.11,accelerometer,,,,,,,-0.027191162,-0.50276184,-0.5758209
1431453683580.11,accelerometer,,,,,,,-0.12727356,-0.583786,-0.9499512
1431453683678.11,accelerometer,,,,,,,-0.049041748,-0.45335388,-0.5582428
1431453683775.11,accelerometer,,,,,,,-0.04286194,-0.66648865,-1.0991058
1431453683932.11,accelerometer,,,,,,,-0.000274658,-0.6546478,-0.5825653
1431453683982.11,accelerometer,,,,,,,-0.060897827,-0.56817627,-0.9721222
1431453684057.11,gps,26.13048561,-80.10596629,3.08877182,5,14.35999966,178.9453125,,,
1431453684066.11,accelerometer,,,,,,,-0.09919739,-0.62646484,-0.74450684
1431453684164.11,accelerometer,,,,,,,-0.14445496,-0.6719055,-0.8310089
1431453684261.11,accelerometer,,,,,,,-0.11418152,-0.553772,-0.70407104
1431453684359.11,accelerometer,,,,,,,-0.16087341,-0.62971497,-0.8638458
1431453684456.11,accelerometer,,,,,,,-0.06643677,-0.37904358,-0.59039307
1431453684554.11,accelerometer,,,,,,,-0.18373108,-0.791214,-1.3240509
1431453684652.11,accelerometer,,,,,,,-0.0901947,-0.42526245,-0.44839478
1431453684751.11,accelerometer,,,,,,,-0.121032715,-0.61068726,-1.2747803
1431453684848.11,accelerometer,,,,,,,-0.058013916,-0.5222626,-0.5901184
1431453684947.11,accelerometer,,,,,,,0.019638062,-0.5094757,-0.7905731
1431453685015.11,gps,26.13033713,-80.10594777,2.519374847,5,14.44999981,176.1328125,,,
1431453685051.11,accelerometer,,,,,,,-0.04020691,-0.49154663,-0.87397766
1431453685151.11,accelerometer,,,,,,,-0.08912659,-0.6169586,-0.89123535
1431453685236.11,accelerometer,,,,,,,-0.03892517,-0.582428,-0.74464417
1431453685334.11,accelerometer,,,,,,,-0.07304382,-0.5135498,-0.8121033
1431453685441.11,accelerometer,,,,,,,-0.121032715,-0.6371918,-0.90174866
1431453685529.11,accelerometer,,,,,,,-0.06661987,-0.53060913,-0.68325806
1431453685628.11,accelerometer,,,,,,,-0.065597534,-0.5527191,-0.8959198
1431453685723.11,accelerometer,,,,,,,-0.17796326,-0.5584259,-0.721405
1431453685831.11,accelerometer,,,,,,,-0.24885559,-0.60087585,-0.8562927
1431453685919.11,accelerometer,,,,,,,-0.16963196,-0.68289185,-0.93356323
1431453685933.11,gps,26.13020889,-80.10594995,2.327388763,5,14.25,177.890625,,,
1431453686017.11,accelerometer,,,,,,,-0.18225098,-0.6044922,-0.70314026
1431453686113.11,accelerometer,,,,,,,-0.17689514,-0.6183014,-0.84077454
1431453686215.11,accelerometer,,,,,,,-0.20170593,-0.5669098,-0.743042
1431453686310.11,accelerometer,,,,,,,-0.15426636,-0.6109772,-0.8301239
1431453686408.11,accelerometer,,,,,,,-0.15989685,-0.57411194,-0.6442108
1431453686517.11,accelerometer,,,,,,,-0.12805176,-0.5463257,-0.81051636
1431453686614.11,accelerometer,,,,,,,-0.1659851,-0.6972351,-0.8628845
1431453686700.11,accelerometer,,,,,,,-0.13104248,-0.49617004,-0.6799927
1431453686799.11,accelerometer,,,,,,,-0.13444519,-0.628891,-0.93862915
1431453686935.11,accelerometer,,,,,,,-0.1516571,-0.639801,-0.7397003
1431453686993.11,gps,26.13007042,-80.10594274,1.508449554,5,14.22000027,177.1875,,,
1431453686997.11,accelerometer,,,,,,,-0.13873291,-0.56155396,-0.8352661
1431453687091.11,accelerometer,,,,,,,-0.14691162,-0.56884766,-0.7608032
1431453687189.11,accelerometer,,,,,,,-0.14932251,-0.6265106,-0.8399658
1431453687296.11,accelerometer,,,,,,,-0.10487366,-0.58877563,-0.8093109
1431453687385.11,accelerometer,,,,,,,-0.15892029,-0.5888214,-0.7971039
1431453687480.11,accelerometer,,,,,,,-0.13464355,-0.58265686,-0.74583435
1431453687580.11,accelerometer,,,,,,,-0.13896179,-0.5799713,-0.8846283
1431453687689.11,accelerometer,,,,,,,-0.11569214,-0.6762543,-0.8603821
1431453687775.11,accelerometer,,,,,,,-0.09843445,-0.53752136,-0.6143341
1431453687875.11,accelerometer,,,,,,,-0.14085388,-0.6636505,-1.02388
1431453687966.11,gps,26.12995127,-80.10593059,1.336513519,5,14,179.296875,,,
1431453687971.11,accelerometer,,,,,,,-0.09945679,-0.63131714,-0.68026733
1431453688069.11,accelerometer,,,,,,,-0.061706543,-0.5822754,-0.76327515
1431453688164.11,accelerometer,,,,,,,-0.14782715,-0.63401794,-0.8545532
1431453688260.11,accelerometer,,,,,,,-0.06645203,-0.5144501,-0.6363373
1431453688367.11,accelerometer,,,,,,,-0.08883667,-0.64871216,-0.9441376
1431453688455.11,accelerometer,,,,,,,-0.10432434,-0.58969116,-0.7305145
1431453688554.11,accelerometer,,,,,,,-0.07841492,-0.6344147,-0.8461914
1431453688650.11,accelerometer,,,,,,,-0.10714722,-0.6215668,-0.7563782
1431453688749.11,accelerometer,,,,,,,-0.060684204,-0.6074066,-0.8055115
1431453688845.11,accelerometer,,,,,,,-0.10650635,-0.6705322,-0.7957611
1431453688946.11,accelerometer,,,,,,,-0.063446045,-0.58425903,-0.67193604
1431453688984.11,gps,26.12983518,-80.10592522,1.304897308,5,13.31999969,178.59375,,,
1431453689040.11,accelerometer,,,,,,,-0.1260376,-0.64250183,-0.85235596
1431453689138.11,accelerometer,,,,,,,-0.0874939,-0.61331177,-0.6627655
1431453689246.11,accelerometer,,,,,,,-0.08305359,-0.6763916,-0.8998413
1431453689335.11,accelerometer,,,,,,,-0.13095093,-0.61698914,-0.7089386
1431453689430.11,accelerometer,,,,,,,-0.049224854,-0.65052795,-0.750412
1431453689529.11,accelerometer,,,,,,,-0.15939331,-0.7014618,-0.79234314
1431453689626.11,accelerometer,,,,,,,-0.14248657,-0.6637573,-0.74360657
1431453689723.11,accelerometer,,,,,,,-0.105529785,-0.66812134,-0.65460205
1431453689820.11,accelerometer,,,,,,,-0.11723328,-0.69970703,-0.8435974
1431453689925.11,accelerometer,,,,,,,-0.055526733,-0.6416321,-0.59814453
1431453689956.11,gps,26.1296931,-80.10591768,0.962917328,5,13.88000011,180.3515625,,,
1431453690016.11,accelerometer,,,,,,,-0.13491821,-0.69950867,-0.8588562
1431453690116.11,accelerometer,,,,,,,-0.08093262,-0.6457825,-0.6653595
1431453690210.11,accelerometer,,,,,,,-0.058654785,-0.7400818,-0.7090912
1431453690309.11,accelerometer,,,,,,,-0.03729248,-0.63134766,-0.7071991
1431453690407.11,accelerometer,,,,,,,-0.031799316,-0.71313477,-0.7886658
