timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1434630737046.13,gps,33.81942177,-84.33014936,292.5452557,5,7.079999924,341.71875,,,
1434630737128.13,accelerometer,,,,,,,0.10368347,-0.43966675,-0.9955902
1434630737224.13,accelerometer,,,,,,,0.061203003,-0.4265442,-0.9353943
1434630737324.13,accelerometer,,,,,,,0.15641785,-0.44311523,-0.8994751
1434630737430.13,accelerometer,,,,,,,0.1865387,-0.37442017,-0.9144745
1434630737520.13,accelerometer,,,,,,,0.0539093,-0.51400757,-0.8226929
1434630737618.13,accelerometer,,,,,,,0.06100464,-0.49221802,-0.83828735
1434630737722.13,accelerometer,,,,,,,-0.064590454,-0.446167,-0.98335266
1434630737818.13,accelerometer,,,,,,,-0.03718567,-0.49298096,-0.9213104
1434630737913.13,accelerometer,,,,,,,0.06713867,-0.4051056,-0.89035034
1434630737987.13,gps,33.8194768,-84.33020367,292.129118,5,7.559999943,328.359375,,,
1434630738013.13,accelerometer,,,,,,,0.14723206,-0.47491455,-0.8852234
1434630738111.13,accelerometer,,,,,,,0.13970947,-0.43844604,-1.023941
1434630738222.13,accelerometer,,,,,,,0.16253662,-0.45814514,-0.87301636
1434630738310.13,accelerometer,,,,,,,0.1317749,-0.40653992,-1.0327606
1434630738406.13,accelerometer,,,,,,,0.11631775,-0.46653748,-0.8141327
1434630738505.13,accelerometer,,,,,,,0.09146118,-0.4622345,-0.92774963
1434630738604.13,accelerometer,,,,,,,0.09700012,-0.45466614,-1.0189667
1434630738703.13,accelerometer,,,,,,,0.13183594,-0.44474792,-0.8565674
1434630738824.13,accelerometer,,,,,,,0.18379211,-0.44232178,-0.94122314
1434630738899.13,accelerometer,,,,,,,0.06512451,-0.49287415,-0.9805145
1434630738975.13,gps,33.8194934,-84.33035161,291.6887493,5,9.210000038,296.71875,,,
1434630738998.13,accelerometer,,,,,,,0.09815979,-0.49969482,-0.81108093
1434630739096.13,accelerometer,,,,,,,0.24058533,-0.5814514,-0.847702
1434630739197.13,accelerometer,,,,,,,0.09712219,-0.4826355,-0.99894714
1434630739294.13,accelerometer,,,,,,,0.07582092,-0.4696045,-0.7792816
1434630739392.13,accelerometer,,,,,,,0.05630493,-0.5372009,-0.7018738
1434630739491.13,accelerometer,,,,,,,0.005126953,-0.56025696,-0.9168091
1434630739589.13,accelerometer,,,,,,,-0.061767578,-0.5809021,-0.8783264
1434630739688.13,accelerometer,,,,,,,-0.0287323,-0.5412903,-0.7472229
1434630739786.13,accelerometer,,,,,,,-0.0413208,-0.53393555,-0.8906708
1434630739887.13,accelerometer,,,,,,,-0.025115967,-0.5437622,-0.8392029
1434630739984.13,accelerometer,,,,,,,-0.018371582,-0.538147,-0.90341187
1434630739993.13,gps,33.81952173,-84.33044197,290.9943523,5,8.569999695,290.7421875,,,
1434630740082.13,accelerometer,,,,,,,0.024246216,-0.5387726,-0.83192444
1434630740181.13,accelerometer,,,,,,,0.04953003,-0.5004425,-0.8061981
1434630740279.13,accelerometer,,,,,,,0.0639801,-0.5001221,-0.90730286
1434630740379.13,accelerometer,,,,,,,0.077301025,-0.4971161,-0.88194275
1434630740479.13,accelerometer,,,,,,,0.05760193,-0.5303345,-0.838501
1434630740577.13,accelerometer,,,,,,,0.03756714,-0.52986145,-0.90045166
1434630740676.13,accelerometer,,,,,,,0.09199524,-0.52163696,-0.8529053
1434630740776.13,accelerometer,,,,,,,-0.00592041,-0.5735779,-0.8427124
1434630740870.13,accelerometer,,,,,,,0.0867157,-0.5119629,-0.8529968
1434630740984.13,accelerometer,,,,,,,0.0574646,-0.59143066,-0.831192
1434630740991.13,gps,33.81954126,-84.33053224,289.9082928,10,8.819999695,285.8203125,,,
1434630741078.13,accelerometer,,,,,,,0.11929321,-0.58821106,-0.84547424
1434630741113.13,gps,33.81954126,-84.33053224,289.9082928,10,8.819999695,285.8203125,,,
1434630741116.13,gps,33.81954126,-84.33053224,289.9082928,10,8.819999695,285.8203125,,,
1434630741166.13,accelerometer,,,,,,,0.17852783,-0.6383362,-0.68573
1434630741229.13,gps,33.81954126,-84.33053224,289.9082928,10,8.819999695,285.8203125,,,
1434630741264.13,accelerometer,,,,,,,0.093933105,-0.6825714,-0.7800598
1434630741363.13,accelerometer,,,,,,,0.07872009,-0.6628418,-0.7273102
1434630741481.13,accelerometer,,,,,,,0.13571167,-0.6423645,-0.7386627
1434630741576.13,accelerometer,,,,,,,0.13217163,-0.5842285,-0.7892914
1434630741659.13,accelerometer,,,,,,,0.083343506,-0.51345825,-0.86460876
1434630741757.13,accelerometer,,,,,,,0.06260681,-0.5596161,-0.8548126
1434630741856.13,accelerometer,,,,,,,0.026046753,-0.5904999,-0.8487396
1434630741962.13,accelerometer,,,,,,,0.060256958,-0.58084106,-0.76875305
1434630742041.13,gps,33.81949583,-84.33065563,288.2494793,5,9.529999733,269.6484375,,,
1434630742053.13,accelerometer,,,,,,,0.06678772,-0.66474915,-0.73020935
1434630742162.13,accelerometer,,,,,,,0.087905884,-0.6599121,-0.7539673
1434630742250.13,accelerometer,,,,,,,0.22479248,-0.7101593,-0.69532776
1434630742349.13,accelerometer,,,,,,,0.123184204,-0.69262695,-0.78308105
1434630742485.13,accelerometer,,,,,,,0.24531555,-0.7153778,-0.6303406
1434630742544.13,accelerometer,,,,,,,0.15457153,-0.6739807,-0.679245
1434630742644.13,accelerometer,,,,,,,0.09164429,-0.6433258,-0.79507446
1434630742743.13,accelerometer,,,,,,,0.08105469,-0.74967957,-0.7924347
1434630742841.13,accelerometer,,,,,,,0.020889282,-0.54211426,-1.2007446
1434630742941.13,accelerometer,,,,,,,-0.13093567,-0.3056183,-0.56414795
1434630743017.13,gps,33.8194848,-84.33077658,287.6021404,5,10.84000015,268.2421875,,,
1434630743040.13,accelerometer,,,,,,,0.18058777,-0.45132446,-0.5734863
1434630743137.13,accelerometer,,,,,,,0.5140228,-0.6595001,-0.7973938
1434630743236.13,accelerometer,,,,,,,0.12823486,0.19874573,-1.1355133
1434630743336.13,accelerometer,,,,,,,0.1673584,0.14752197,-0.64793396
1434630743435.13,accelerometer,,,,,,,0.22579956,-0.39201355,-0.4842987
1434630743534.13,accelerometer,,,,,,,0.31578064,-0.889328,-0.75146484
1434630743638.13,accelerometer,,,,,,,0.38783264,-0.21905518,-1.6965485
1434630743731.13,accelerometer,,,,,,,0.25439453,-0.19216919,-0.8286743
1434630743839.13,accelerometer,,,,,,,0.3877716,-0.73057556,-0.56240845
1434630743944.13,accelerometer,,,,,,,0.18838501,-0.8473511,-1.0353088
1434630744009.13,gps,33.81948489,-84.33089225,286.8819256,5,10.44999981,270.3515625,,,
1434630744026.13,accelerometer,,,,,,,-0.034576416,-0.4102478,-0.8765259
1434630744124.13,accelerometer,,,,,,,0.03778076,-0.41262817,-0.7044678
1434630744226.13,accelerometer,,,,,,,-0.051818848,-0.5960541,-0.6389313
1434630744323.13,accelerometer,,,,,,,-4.58E-05,-0.7026367,-0.7621765
1434630744424.13,accelerometer,,,,,,,-0.029953003,-0.69602966,-0.8852844
1434630744519.13,accelerometer,,,,,,,0.02734375,-0.6227722,-0.6779938
1434630744619.13,accelerometer,,,,,,,-0.05619812,-0.6119232,-0.80322266
1434630744727.13,accelerometer,,,,,,,-0.011993408,-0.5845947,-0.9016571
1434630744807.13,accelerometer,,,,,,,0.04170227,-0.6185608,-0.74165344
1434630744918.13,accelerometer,,,,,,,0.030426025,-0.61128235,-0.8678894
1434630744999.13,gps,33.81946896,-84.33100364,285.9172039,5,9.829999924,270.3515625,,,
1434630745006.13,accelerometer,,,,,,,0.08169556,-0.58673096,-0.76483154
1434630745104.13,accelerometer,,,,,,,0.15664673,-0.5797882,-0.8132324
1434630745203.13,accelerometer,,,,,,,0.08091736,-0.6210327,-0.8113556
1434630745302.13,accelerometer,,,,,,,0.09008789,-0.5622101,-0.72843933
1434630745400.13,accelerometer,,,,,,,0.11009216,-0.61343384,-0.7561035
1434630745499.13,accelerometer,,,,,,,0.022140503,-0.5546112,-0.90353394
1434630745609.13,accelerometer,,,,,,,0.15000916,-0.6279144,-0.7398224
1434630745697.13,accelerometer,,,,,,,0.08705139,-0.6478119,-0.7955017
1434630745794.13,accelerometer,,,,,,,0.10244751,-0.6369934,-0.82743835
1434630745894.13,accelerometer,,,,,,,0.2034607,-0.6255951,-0.6570282
1434630746010.13,accelerometer,,,,,,,0.2223053,-0.6889496,-0.7139435
1434630746020.13,gps,33.81946351,-84.33111814,285.5445232,5,10.35999966,269.6484375,,,
1434630746093.13,accelerometer,,,,,,,0.34999084,-0.576416,-0.7028961
1434630746189.13,accelerometer,,,,,,,0.20733643,-0.6205292,-0.683197
1434630746288.13,accelerometer,,,,,,,0.2230072,-0.58052063,-0.8227844
1434630746387.13,accelerometer,,,,,,,0.13699341,-0.58265686,-0.90019226
1434630746453.13,gps,33.81946351,-84.33111814,285.5445232,5,10.35999966,269.6484375,,,
1434630746456.13,gps,33.81946351,-84.33111814,285.5445232,5,10.35999966,269.6484375,,,
1434630746467.13,gps,33.81946351,-84.33111814,285.5445232,5,10.35999966,269.6484375,,,
1434630746469.13,gps,33.81946351,-84.33111814,285.5445232,5,10.35999966,269.6484375,,,
1434630746486.13,accelerometer,,,,,,,0.2270813,-0.513504,-0.8670349
1434630746584.13,accelerometer,,,,,,,0.20980835,-0.544281,-0.78074646
1434630746683.13,accelerometer,,,,,,,0.113861084,-0.49435425,-0.95018005
1434630746796.13,accelerometer,,,,,,,0.2246399,-0.5249481,-0.75286865
1434630746882.13,accelerometer,,,,,,,0.32559204,-0.5845032,-0.66522217
1434630746966.13,gps,33.81945337,-84.3312235,285.0759563,5,10.07999992,267.890625,,,
1434630746979.13,accelerometer,,,,,,,0.20469666,-0.6612549,-0.7590027
1434630747079.13,accelerometer,,,,,,,0.20863342,-0.62597656,-0.69810486
1434630747179.13,accelerometer,,,,,,,0.2144165,-0.5040741,-0.511261
1434630747274.13,accelerometer,,,,,,,0.1298523,-0.65457153,-0.77571106
1434630747376.13,accelerometer,,,,,,,0.15618896,-0.52267456,-0.98698425
1434630747476.13,accelerometer,,,,,,,0.13269043,-0.5199127,-0.811203
1434630747577.13,accelerometer,,,,,,,0.15122986,-0.47958374,-0.8607483
1434630747671.13,accelerometer,,,,,,,0.12776184,-0.5344696,-0.9191284
1434630747779.13,accelerometer,,,,,,,0.12823486,-0.5435791,-0.7826538
1434630747873.13,accelerometer,,,,,,,0.09526062,-0.6077118,-0.84965515
1434630747969.13,accelerometer,,,,,,,0.07817078,-0.5619812,-0.76361084
1434630748000.13,gps,33.81945082,-84.33134713,284.5536785,5,10.93999958,270.3515625,,,
1434630748066.13,accelerometer,,,,,,,0.0974884,-0.552124,-0.8371582
1434630748172.13,accelerometer,,,,,,,0.019119263,-0.56495667,-0.8933716
1434630748262.13,accelerometer,,,,,,,0.07783508,-0.549469,-0.7476349
1434630748403.13,accelerometer,,,,,,,0.064315796,-0.6091156,-0.7703552
1434630748459.13,accelerometer,,,,,,,0.07815552,-0.6060791,-0.7812195
1434630748561.13,accelerometer,,,,,,,0.07635498,-0.5799408,-0.74594116
1434630748690.13,accelerometer,,,,,,,0.085861206,-0.6082611,-0.80770874
1434630748754.13,accelerometer,,,,,,,0.064193726,-0.6098175,-0.7588196
1434630748851.13,accelerometer,,,,,,,0.24105835,-0.5870514,-0.90104675
1434630748996.13,accelerometer,,,,,,,0.39349365,-0.2697296,-0.6951294
1434630749014.13,gps,33.81945132,-84.33145316,284.5772381,5,10.64999962,270.3515625,,,
1434630749056.13,accelerometer,,,,,,,0.39849854,-0.30259705,-0.7611084
1434630749150.13,accelerometer,,,,,,,0.49674988,0.5893707,-1.819458
1434630749246.13,accelerometer,,,,,,,0.0365448,-0.09100342,-1.0396271
1434630749345.13,accelerometer,,,,,,,0.153656,0.037734985,-0.938385
1434630749446.13,accelerometer,,,,,,,0.06944275,-0.23034668,-1.0356903
1434630749541.13,accelerometer,,,,,,,0.038085938,-0.44670105,-0.7825165
1434630749640.13,accelerometer,,,,,,,0.15248108,-0.61286926,-0.7332916
1434630749739.13,accelerometer,,,,,,,-0.000991821,-0.51135254,-0.8191681
1434630749840.13,accelerometer,,,,,,,0.033691406,-0.6019592,-0.70022583
1434630749939.13,accelerometer,,,,,,,-0.031982422,-0.53022766,-0.9412384
1434630749985.13,gps,33.81945136,-84.33156791,284.2400799,5,10.63000011,270,,,
1434630750034.13,accelerometer,,,,,,,0.09902954,-0.54304504,-0.82974243
1434630750136.13,accelerometer,,,,,,,0.061645508,-0.5048065,-0.8209076
1434630750231.13,accelerometer,,,,,,,0.06852722,-0.43255615,-0.93937683
1434630750331.13,accelerometer,,,,,,,0.14193726,-0.49305725,-0.8989258
1434630750429.13,accelerometer,,,,,,,-0.027297974,-0.5332489,-0.78053284
1434630750530.13,accelerometer,,,,,,,0.015914917,-0.62065125,-0.71009827
1434630750626.13,accelerometer,,,,,,,-0.003112793,-0.60131836,-0.8608551
1434630750733.13,accelerometer,,,,,,,-0.025299072,-0.56211853,-0.7969055
1434630750823.13,accelerometer,,,,,,,0.009262085,-0.5801544,-0.79792786
1434630750921.13,accelerometer,,,,,,,-0.052612305,-0.60858154,-0.8811188
1434630750980.13,gps,33.81945589,-84.33167604,284.1166668,5,10.52999973,270.3515625,,,
1434630751019.13,accelerometer,,,,,,,-0.003143311,-0.556427,-0.7896271
1434630751130.13,accelerometer,,,,,,,-0.011825562,-0.58232117,-0.75445557
1434630751219.13,accelerometer,,,,,,,-0.02418518,-0.5531616,-0.8254547
1434630751321.13,accelerometer,,,,,,,0.09288025,-0.49897766,-0.79888916
1434630751439.13,accelerometer,,,,,,,0.22595215,-0.4434204,-1.0246582
1434630751516.13,accelerometer,,,,,,,0.12579346,-0.4592743,-0.9556732
1434630751613.13,accelerometer,,,,,,,0.12998962,-0.509079,-0.7146301
