timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1431035218761.43,gps,41.97875302,-87.8930177,194.7600632,10,14.35999966,139.5703125,,,
1431035218834.43,accelerometer,,,,,,,-0.07597351,-0.44839478,-0.8671875
1431035218932.43,accelerometer,,,,,,,-0.07902527,-0.4358368,-0.9198761
1431035219030.43,accelerometer,,,,,,,-0.06918335,-0.45603943,-0.9217224
1431035219129.43,accelerometer,,,,,,,-0.05934143,-0.45677185,-0.8961487
1431035219224.43,accelerometer,,,,,,,-0.11175537,-0.4449463,-0.92485046
1431035219324.43,accelerometer,,,,,,,-0.08631897,-0.43040466,-0.8916931
1431035219423.43,accelerometer,,,,,,,-0.067611694,-0.44088745,-0.9115143
1431035219611.43,accelerometer,,,,,,,-0.085113525,-0.4187622,-0.93621826
1431035219619.43,accelerometer,,,,,,,-0.075683594,-0.46531677,-0.9386139
1431035219698.43,gps,41.97862993,-87.89289826,195.0666428,5,13.98999977,139.921875,,,
1431035219710.43,accelerometer,,,,,,,-0.059326172,-0.40750122,-0.915329
1431035219808.43,accelerometer,,,,,,,-0.09375,-0.42355347,-0.9213104
1431035219906.43,accelerometer,,,,,,,-0.08078003,-0.43251038,-0.89538574
1431035220040.43,accelerometer,,,,,,,-0.090667725,-0.4185791,-0.8977356
1431035220111.43,accelerometer,,,,,,,-0.08711243,-0.43891907,-0.93315125
1431035220205.43,accelerometer,,,,,,,-0.09239197,-0.44519043,-0.9288788
1431035220305.43,accelerometer,,,,,,,-0.08416748,-0.43696594,-0.9477234
1431035220395.43,accelerometer,,,,,,,-0.117889404,-0.45013428,-0.9180145
1431035220490.43,accelerometer,,,,,,,-0.11427307,-0.46229553,-0.88671875
1431035220589.43,accelerometer,,,,,,,-0.09126282,-0.51890564,-0.7806244
1431035220694.43,accelerometer,,,,,,,-0.14950562,-0.5193329,-0.9032898
1431035220697.43,gps,41.97855386,-87.89279994,195.376091,5,13.88000011,139.921875,,,
1431035220786.43,accelerometer,,,,,,,-0.26113892,-0.54307556,-0.8357239
1431035220879.43,accelerometer,,,,,,,-0.19424438,-0.5627136,-0.8688812
1431035220978.43,accelerometer,,,,,,,-0.19947815,-0.54460144,-0.8711548
1431035221075.43,accelerometer,,,,,,,-0.18080139,-0.51890564,-0.8376312
1431035221182.43,accelerometer,,,,,,,-0.18133545,-0.5361481,-0.81196594
1431035221277.43,accelerometer,,,,,,,-0.16419983,-0.5275574,-0.80540466
